resolved_timestamp,type
"2012-12-19 11:41:02+00:00",PS
"2012-12-19 12:26:24+00:00",DEV
"2013-01-04 14:36:09+00:00",AT
"2013-01-09 10:24:47+00:00",DEV
"2013-01-11 13:36:40+00:00",DEV
"2013-01-17 12:19:17+00:00",PS
"2013-01-28 13:31:14+00:00",PS
"2013-01-31 08:22:04+00:00",PS
"2013-01-31 10:23:30+00:00",PS
"2013-02-01 15:54:36+00:00",PS
"2013-02-05 09:46:51+00:00",PS
"2013-02-05 10:57:43+00:00",PS
"2013-02-11 13:13:09+00:00",AT
"2013-02-15 11:08:31+00:00",AT
"2013-02-15 15:08:59+00:00",AT
"2013-02-20 06:39:35+00:00",PS
"2013-02-20 13:42:40+00:00",AT
"2013-02-21 12:04:59+00:00",AT
"2013-02-21 12:58:46+00:00",DEV
"2013-02-21 12:58:59+00:00",DEV
"2013-02-21 12:59:29+00:00",DEV
"2013-02-21 12:59:47+00:00",DEV
"2013-02-21 13:00:36+00:00",DEV
"2013-02-21 13:02:30+00:00",DEV
"2013-02-21 13:04:25+00:00",DEV
"2013-02-25 11:50:28+00:00",DEV
"2013-02-26 16:07:35+00:00",PS
"2013-02-27 08:29:18+00:00",AT
"2013-02-27 10:36:40+00:00",PS
"2013-02-28 13:16:21+00:00",PS
"2013-03-07 06:23:57+00:00",DEV
"2013-03-11 08:11:13+00:00",PS
"2013-03-12 09:01:13+00:00",PS
"2013-03-13 08:50:42+00:00",PS
"2013-03-13 14:02:54+00:00",PS
"2013-03-14 08:31:18+00:00",DEV
"2013-03-15 15:05:22+00:00",AT
"2013-03-18 12:51:20+00:00",AT
"2013-03-18 13:47:51+00:00",PS
"2013-03-19 11:28:55+00:00",DEV
"2013-03-19 14:36:52+00:00",AT
"2013-03-20 09:23:21+00:00",AT
"2013-03-20 12:32:08+00:00",AT
"2013-03-20 12:42:59+00:00",AT
"2013-03-20 18:04:54+00:00",AT
"2013-03-21 07:25:54+00:00",AT
"2013-03-21 09:51:04+00:00",AT
"2013-03-21 10:03:42+00:00",AT
"2013-03-21 11:54:05+00:00",PS
"2013-03-21 12:56:07+00:00",AT
"2013-03-21 13:15:00+00:00",AT
"2013-03-22 11:52:32+00:00",AT
"2013-03-22 12:03:58+00:00",AT
"2013-03-22 13:50:27+00:00",AT
"2013-03-22 14:01:32+00:00",AT
"2013-03-24 10:00:25+00:00",AT
"2013-03-24 13:58:11+00:00",AT
"2013-03-25 07:59:31+00:00",AT
"2013-03-25 09:39:24+00:00",AT
"2013-03-25 10:01:21+00:00",AT
"2013-03-25 13:11:12+00:00",AT
"2013-03-26 09:06:01+00:00",AT
"2013-03-26 09:10:53+00:00",AT
"2013-03-26 09:13:27+00:00",AT
"2013-03-26 09:15:34+00:00",AT
"2013-03-26 09:23:00+00:00",AT
"2013-03-26 09:25:09+00:00",AT
"2013-03-26 09:43:27+00:00",AT
"2013-03-26 09:47:56+00:00",AT
"2013-03-26 10:49:02+00:00",AT
"2013-03-26 11:54:41+00:00",AT
"2013-03-26 12:06:19+00:00",DEV
"2013-03-26 12:24:46+00:00",AT
"2013-03-27 11:36:57+00:00",AT
"2013-03-27 12:38:07+00:00",AT
"2013-03-27 13:00:54+00:00",AT
"2013-03-27 13:04:52+00:00",AT
"2013-03-27 13:07:01+00:00",AT
"2013-03-27 13:09:34+00:00",AT
"2013-03-27 13:10:06+00:00",AT
"2013-03-27 13:13:45+00:00",AT
"2013-03-27 13:21:27+00:00",AT
"2013-03-27 13:38:11+00:00",AT
"2013-03-27 14:39:19+00:00",AT
"2013-03-27 14:49:52+00:00",AT
"2013-03-27 15:14:43+00:00",AT
"2013-03-27 15:42:26+00:00",AT
"2013-03-27 15:53:49+00:00",AT
"2013-03-27 15:55:28+00:00",AT
"2013-03-27 15:56:29+00:00",AT
"2013-03-27 15:58:17+00:00",AT
"2013-03-27 16:42:03+00:00",AT
"2013-03-27 17:28:24+00:00",AT
"2013-03-27 17:32:43+00:00",AT
"2013-03-28 06:36:59+00:00",AT
"2013-03-28 07:35:14+00:00",PS
"2013-03-28 07:37:39+00:00",PS
"2013-03-29 11:49:03+00:00",AT
"2013-03-29 12:33:43+00:00",AT
"2013-03-30 10:58:10+00:00",AT
"2013-03-30 11:09:15+00:00",AT
"2013-03-30 12:27:17+00:00",AT
"2013-03-30 17:30:52+00:00",AT
"2013-03-30 17:34:16+00:00",AT
"2013-03-30 17:44:06+00:00",AT
"2013-04-01 09:22:32+00:00",AT
"2013-04-01 10:47:45+00:00",AT
"2013-04-01 13:49:00+00:00",AT
"2013-04-02 06:47:39+00:00",DEV
"2013-04-02 06:55:37+00:00",DEV
"2013-04-02 12:00:59+00:00",AT
"2013-04-02 13:45:05+00:00",AT
"2013-04-02 13:49:53+00:00",AT
"2013-04-03 10:59:05+00:00",AT
"2013-04-03 11:07:45+00:00",AT
"2013-04-03 14:22:48+00:00",AT
"2013-04-04 08:01:37+00:00",AT
"2013-04-04 08:50:35+00:00",AT
"2013-04-04 08:53:50+00:00",AT
"2013-04-04 08:55:12+00:00",AT
"2013-04-04 09:29:25+00:00",AT
"2013-04-04 10:28:21+00:00",AT
"2013-04-04 10:42:11+00:00",DEV
"2013-04-04 10:42:52+00:00",DEV
"2013-04-04 11:09:48+00:00",AT
"2013-04-05 07:50:39+00:00",PS
"2013-04-05 08:20:20+00:00",AT
