"#","Name","Color","Parent","Start","Stop","Icon","Description","Namechange_1","When_1","Description_1","Namechange_2","When_2","Description_2",X1,X2,X3
"N","KahelOS","#e74a47","Arch","2009.7",NA,NA,"http://www.kahelos.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","CTKarchLive","#000","Arch","2009.7.5",NA,NA,"http://calimeroteknik.free.fr/ctkarchlive/index-en.html","CTKArch","2011.4.7","http://ctkarch.org/",NA,NA,NA,NA,NA,NA
"N","Arch Linux ARM","#0771a6","Arch","2009.8.9",NA,NA,"http://archlinuxarm.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ArchBang","#0077bb","Arch","2010.1.26",NA,NA,"http://archbang.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"#N","Arch Hurd","#00adef","Arch","2010.6.5",NA,NA,"http://www.archhurd.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Parabola","#000","Arch","2010.11",NA,NA,"http://parabolagnulinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","LDR","#800080","Arch","2011.4.13",NA,NA,"http://web.archive.org/web/20110717211908/http://www.tommed.co.uk/ldr/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Manjaro","#3fbb3f","Arch","2011.7.9",NA,NA,"http://manjarolinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Bridge","#333333","Arch","2012.1.30",NA,NA,"http://millertechnologies.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"// N","Nosonja","#336699","Arch","2012.3.1",NA,NA,"http://nosonja.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"// N","Cinnarch",NA,"Arch","2012.7.19",NA,NA,"http://sourceforge.net/projects/cinnarch/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Specifix","#332c55",NA,"2004.7.14",NA,NA,"http://www.specifix.com/","rPath","2005.6.2","http://www.rpath.com/corp/",NA,NA,NA,NA,NA,NA
"N","Foresight","#a3a3a3","Specifix","2005.3",NA,NA,"http://www.foresightlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Oz","#5da0c6","Specifix","2007","2008",NA,"http://ubuntuforums.org/showthread.php?t=398478",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Openfiler","#5f86ac",NA,"2004.5",NA,NA,"http://www.openfiler.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Everest","#005896",NA,"2006.6.5",NA,NA,"www.linux-ren.org","Qomo","2009.5","www.linux-ren.org",NA,NA,NA,NA,NA,NA
"N","mkLinux","#35332d",NA,"1996.5.17","2002.8.11",NA,"http://www.mklinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","LST","#4e8969",NA,"1993.12","1997.3.23",NA,"http://www.dsj.net/compedge/caldera.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","DLD","#9e9e9e",NA,"1993","1999.12",NA,"http://de.wikipedia.org/wiki/Deutsche_Linux-Distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Linux-FT","#ff0031",NA,"1995.1","1996.10",NA,"http://www.ukuug.org/newsletter/linux-newsletter/linux@uk12/ftinfo.shtml",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Unifix","#334466",NA,"1995.6","2001",NA,"http://www.unifix.de/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","United Linux","#040404",NA,"2002.11.19","2004.1.22",NA,"http://en.wikipedia.org/wiki/United_Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Red Hat","#cc0000",NA,"1994.11.3",NA,NA,"http://www.redhat.com/","Red Hat Enterprise","2002.3.26","http://www.redhat.com/",NA,NA,NA,NA,NA,NA
"N","WGS Linux Pro","#ff5f00","Red Hat","1995","1997",NA,"http://www.workgroupsolutions.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Caldera","#5ea3db","Red Hat","1996.2","2002.11.19",NA,"http://en.wikipedia.org/wiki/Caldera_OpenLinux","SCO","2002.8.26","http://www.sco.com/",NA,NA,NA,NA,NA,NA
"N","Redmond","#33812b","Caldera","2001.12.8","2005.6.15",NA,"http://freshmeat.net/projects/redmondlinux/","Lycoris","2002.1","http://en.wikipedia.org/wiki/Lycoris_%28company%29",NA,NA,NA,NA,NA,NA
"N","LinuxPPC","#4cc931","Red Hat","1997.4","2001",NA,"http://lists.ozlabs.org/listinfo/linuxppc-dev",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","UltraPenguin","#000","Red Hat","1997.7","1998.12",NA,"http://ultra.linux.cz/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Conectiva","#4c3065","Red Hat","1997.10","2005.1.24",NA,"http://www.mandriva.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Buhawi","#99ccff","Red Hat","1997.12.21","2004.9.18",NA,"http://bluepoint.com.ph/buhawi/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","PLD","#3f89d0","Red Hat","1998",NA,NA,"http://www.pld-linux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Turbolinux","#8c99ce","Red Hat","1998.6",NA,NA,"http://www.turbolinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Mandrake","#3f48c9","Red Hat","1998.7.23",NA,NA,"http://www.mandriva.com/","Mandriva","2005.4.8","http://www.mandriva.com/",NA,NA,NA,NA,NA,NA
"N","Demolinux","#3333ff","Mandrake","1998.9","2002.7",NA,"http://www.demolinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Virtual","#8c8f96","Mandrake","2001.9.16","2002.5.3",NA,"http://sourceforge.net/projects/virtual-linux/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ALT","#ebe04a","Mandrake","2001.3.25",NA,NA,"http://www.altlinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","PCLinuxOS","#78ca75","Mandrake","2003.10",NA,NA,"http://pclinuxos.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","TinyMe","#0000ff","PCLinuxOS","2006.11",NA,NA,"http://tinymelinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Granular","#ff0032","PCLinuxOS","2006.12.30",NA,NA,"http://www.granularlinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Garuda","#b21200","PCLinuxOS","2011.4.13",NA,NA,"http://www.garudaone.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Phinx","#004b68","PCLinuxOS","2011.8",NA,NA,"http://cozmodesigns.co.uk/phinx/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","SAM","#007800","Mandrake","2003.10",NA,NA,"http://www.sam-linux.org/","SAMity","2010.6.30","www.samity.org",NA,NA,NA,NA,NA,NA
"N","blackPanther","#000","Mandrake","2003.12",NA,NA,"http://www.blackpanther.hu/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","OpenSLS","#a6a5c5","Mandrake","2003.12.22","2007.12.30",NA,"http://annvix.org/","Annvix","2004.8.26","http://annvix.org/",NA,NA,NA,NA,NA,NA
"N","Unity","#77EE00","Mandrake","2009.12.10",NA,NA,"http://unity-linux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ChameleonOS","#489F3E","Unity","2010.07.12",NA,NA,"http://chameleonos.wordpress.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Mageia","#3f48c9","Mandrake","2010.9.18",NA,NA,"http://mageia.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ROSA","#105289","Mandrake","2011.3.25",NA,NA,"http://www.rosalab.ru/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Eurielec","#040404","Red Hat","1998","2001.5.13",NA,"http://www.eurielec.etsit.upm.es/linux/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Fermi","#00309e","Red Hat","1998.8.31",NA,NA,"http://fermilinux.fnal.gov/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","KRUD","#00adfb","Red Hat","1999","2005",NA,"http://www.tummy.com/Products/krud/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","e-smith","#d38b8e","Red Hat","1999.1",NA,NA,"http://wiki.contribs.org/Main_Page","SME Server","2001.8","http://www.smeserver.org/",NA,NA,NA,NA,NA,NA
"N","Eridani","#2625a4","Red Hat","1999.3","2003.8.5",NA,"http://www.eridani.co.uk/linux.shtml",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Yellow Dog","#baba4c","Red Hat","1999.3.8",NA,NA,"http://www.yellowdoglinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Vine","#323296","Red Hat","1999.3.28",NA,NA,"http://www.vinelinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Red Flag","#e34043","Red Hat","1999.8",NA,NA,"http://www.redflag-linux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Armed","#d73ce2","Red Hat","1999.9.5","2002",NA,"http://lwn.net/1999/0916/a/armed.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Immunix","#bbd295","Red Hat","1999.10","2003.11.27",NA,"http://en.wikipedia.org/wiki/Immunix",NA,NA,NA,NA,NA,NA,NA,NA,NA
