branch;line;nd
#if ZEND_EXTENSIONS_SUPPORT;6;3
#else;77;2
#if ZEND_EXTENSIONS_SUPPORT;87;1
#if ZEND_EXTENSIONS_SUPPORT;98;1
#if ZEND_EXTENSIONS_SUPPORT;106;1
#if ZEND_EXTENSIONS_SUPPORT && !ZEND_DEBUG;134;1
#if XPFPA_HAVE_CW;6;1
#else;13;1
#if XPFPA_HAVE_CW;19;1
#if defined(_MSC_VER) && !defined(_WIN64);6;2
#ifdef HAVE__CONTROLFP_S;16;1
#elif defined(HAVE__CONTROLFP);30;1
#elif defined(HAVE__FPU_SETCW);44;1
#elif defined(HAVE_FPSETPREC);58;1
#elif defined(HAVE_FPU_INLINE_ASM_X86);72;1
#else;85;1
#ifdef ZTS;4;1
#else;6;1
#if GC_BENCH;29;1
#ifdef ZTS;44;1
#else;46;1
#ifndef ZTS;52;1
#if GC_BENCH;60;1
#ifndef GC_BENCH;3;1
#if GC_BENCH;6;1
#else;10;1
#if GC_BENCH;63;1
#ifdef ZTS;76;1
#else;81;1
#ifdef ZTS;14;1
#ifndef ZTS;80;1
#ifdef ZTS;89;1
#ifdef ZEND_WIN32;125;1
#if XPFPA_HAVE_CW;155;1
#ifdef ZTS;8;1
#else;11;1
#ifdef ZTS;16;1
#else;18;1
#ifdef ZTS;22;1
#else;25;1
#ifdef ZTS;29;1
#else;32;1
#if ZEND_DEBUG;4;1
#else;32;1
#ifdef ZEND_SIGNALS;50;1
#ifdef ZEND_SIGNALS;128;1
#ifdef ZEND_SIGNALS;184;1
#ifdef ZEND_SIGNALS;244;1
#ifdef ZEND_SIGNALS;296;1
#ifdef ZEND_SIGNALS;840;1
#if ZEND_DEBUG;1147;1
#if ZEND_DEBUG;50;1
#if ZEND_DEBUG;167;1
#ifdef ZTS;82;1
#ifdef ZTS;123;1
#ifdef ZTS;154;1
#if TONY_20070307;300;1
#ifndef ZTS;415;1
#else;417;1
#ifndef ZTS;439;1
#else;441;1
#ifndef ZTS;452;1
#else;454;1
#ifndef ZTS;469;1
#else;471;1
#ifndef ZTS;482;1
#else;484;1
#ifndef ZTS;495;1
#else;497;1
#ifndef XtOffsetOf;7;4
#ifdef ZTS;79;1
#else;83;1
#ifdef ZTS;24;1
#else;28;1
#ifdef PHP_WIN32;133;1
#else;135;1
#ifndef YYDEBUG;182;1
#ifdef YYERROR_VERBOSE;185;1
#else;188;1
#ifndef YYTOKEN_TABLE;191;1
#ifndef YYTOKENTYPE;194;1
#if ! defined YYSTYPE && ! defined YYSTYPE_IS_DECLARED;227;1
#ifdef short;233;1
#ifdef YYTYPE_UINT8;236;1
#else;238;1
#ifdef YYTYPE_INT8;241;1
#elif (defined __STDC__ || defined __C99__FUNC__ || defined __cplusplus || defined _MSC_VER);243;1
#else;245;1
#ifdef YYTYPE_UINT16;248;1
#else;250;1
#ifdef YYTYPE_INT16;253;1
#else;255;1
#ifndef YYSIZE_T;258;2
#ifndef YY_;271;3
#if ! defined lint || defined __GNUC__;282;1
#else;284;1
#ifndef lint;287;1
#else;289;2
#if ! defined yyoverflow || YYERROR_VERBOSE;302;6
#if (! defined yyoverflow && (! defined __cplusplus || (defined YYSTYPE_IS_TRIVIAL && YYSTYPE_IS_TRIVIAL)));356;3
#if YYDEBUG;413;1
#if YYDEBUG || YYERROR_VERBOSE || YYTOKEN_TABLE;448;1
# ifdef YYPRINT;463;1
#ifndef YYLLOC_DEFAULT;579;1
#ifndef YY_LOCATION_PRINT;582;2
#ifdef YYLEX_PARAM;589;1
#else;591;1
#if YYDEBUG;594;2
#else;689;1
#ifndef YYINITDEPTH;695;1
#ifndef YYMAXDEPTH;698;1
#if YYERROR_VERBOSE;701;4
#if (defined __STDC__ || defined __C99__FUNC__ || defined __cplusplus || defined _MSC_VER);862;1
#else;865;1
#ifdef YYPARSE_PARAM;883;2
#else;889;2
#ifdef YYPARSE_PARAM;896;2
#else;905;2
#if YYERROR_VERBOSE;931;1
#ifdef yyoverflow;957;1
#else;968;2
#if DEBUG_CFG_PARSER;1052;1
#if DEBUG_CFG_PARSER;1061;1
#if DEBUG_CFG_PARSER;1071;1
#if ! YYERROR_VERBOSE;1224;1
#else;1226;1
#if !defined(yyoverflow) || YYERROR_VERBOSE;1315;1
#ifndef yyoverflow;1332;1
#if YYERROR_VERBOSE;1336;1
#ifndef YYTOKENTYPE;1;1
#if ! defined YYSTYPE && ! defined YYSTYPE_IS_DECLARED;34;1
#if 0;7;1
#else;9;1
#if ZEND_MMAP_AHEAD < (YYMAXFILL + 1);27;1
#ifdef ZTS;31;1
#else;33;1
#if 0;128;1
#if 0;281;1
#if defined(ZTS) && !defined(HAVE_CLASS_ISTDIOSTREAM);3;1
#ifdef ZTS;1;1
#ifndef YYTOKENTYPE;5;1
#if ! defined YYSTYPE && ! defined YYSTYPE_IS_DECLARED;276;1
#if 0;2;1
#else;4;1
#ifdef PHP_WIN32;10;1
#if ZEND_MMAP_AHEAD < YYMAXFILL;41;1
#ifdef HAVE_STDARG_H;44;1
#ifdef HAVE_UNISTD_H;47;1
#ifdef ZTS;51;1
#else;53;1
#ifdef PHP_WIN32;705;1
#else;707;1
#if HAVE_GETCWD;3889;1
#elif HAVE_GETWD;3891;1
#if 0;201;1
#if 0;219;1
#if 0;242;1
#ifdef ZTS;13;1
#else;15;1
#ifdef ZTS;24;1
#else;26;1
#ifdef ZTS;52;1
#else;54;1
#if defined(__i386__) && defined(__GNUC__);1;1
#elif defined(__x86_64__) && defined(__GNUC__);3;1
#elif defined(__arm__) && defined(__GNUC__);5;1
#elif defined(__aarch64__) && defined(__GNUC__);7;1
#elif SIZEOF_LONG == 4 && defined(HAVE_ZEND_LONG64);9;1
#else;11;1
#if DEBUG_OBJECT_HANDLERS;334;1
#if DEBUG_OBJECT_HANDLERS;580;1
#if MBO_0;918;1
#if DEBUG_OBJECT_HANDLERS;967;1
#if DEBUG_OBJECT_HANDLERS;1097;1
#if ZEND_DEBUG_OBJECTS;92;1
#if ZEND_DEBUG_OBJECTS;106;1
#if ZEND_DEBUG_OBJECTS;162;1
#ifdef ZTS;126;1
#else;128;1
#if ZEND_USE_TOLOWER_L;11;1
#else;15;1
#if HAVE_STRCOLL;1110;1
#ifdef ZEND_USE_TOLOWER_L;1618;1
#if ULONG_MAX == 0xFFFFFFFF;1766;1
#else;1770;1
#ifdef __GNUC__;6;1
#ifdef HAVE_IEEEFP_H;9;1
#if 0&&HAVE_BCMATH;14;1
#if ZEND_DVAL_TO_LVAL_CAST_OK;43;1
#elif SIZEOF_LONG == 4;45;1
#else;59;1
#if HAVE_STRCOLL;252;1
#if HAVE_SETLOCALE && defined(ZEND_WIN32) && !defined(ZTS) && defined(_MSC_VER) && (_MSC_VER >= 1400);334;1
#ifdef ZEND_USE_TOLOWER_L;337;1
#else;339;1
#if defined(__GNUC__) && defined(__i386__);346;1
#elif defined(__GNUC__) && defined(__x86_64__);359;1
#else;372;1
#if defined(__GNUC__) && defined(__i386__);387;1
#elif defined(__GNUC__) && defined(__x86_64__);400;1
#else;413;1
#if defined(__GNUC__) && defined(__i386__);429;1
#elif defined(__GNUC__) && defined(__x86_64__);452;1
#else;475;1
#if defined(__GNUC__) && defined(__i386__);508;2
#elif defined(__GNUC__) && defined(__x86_64__);535;2
#else;562;1
#if 0;619;1
#ifdef HAVE_STDARG_H;3;1
#ifdef HAVE_SIGNAL_H;5;1
#ifdef HAVE_UNISTD_H;8;1
#ifdef ZEND_SIGNALS;11;2
#ifdef HAVE_SIGNAL_H;3;1
#ifndef NSIG;6;1
