feature;sd
ETIME;2
LC_NUMERIC;1
__UCLIBC__;1
FE_INEXACT;11
_SC_SSIZE_MAX;2
M_MXFAST;2
_MATH_H_MATHDEF;14
SIZE_LONG_INT_64;4
__ASSUME_PRIVATE_FUTEX;36
__NR_rt_sigreturn;2
EREMCHG;2
ENABLE_NLS;3
xstormy16;1
HAVE_LIBINTL_H;3
LC_MESSAGES;1
SO_BROADCAST;1
atomic_increment_and_test;1
_ARCH_PWR4;4
globfree;1
RTLD_BOOTSTRAP;140
DL_FIND_ARG_COMPONENTS;1
__GXX_EXPERIMENTAL_CXX0X__;1
YYERROR_VERBOSE;8
__SSE_MATH__;5
BE_AIO64;3
_LIST_H;2
_FCNTL_H;34
_NO_PROTO;1
__ARM_ARCH_6K__;2
MEMCPY_RESULT;2
libc_feupdateenv_testl;1
INT_STRLEN_MAXIMUM;1
EFAULT;3
_POSIX_NO_TRUNC;2
SCM_RIGHTS;3
__need_list_t;2
_SC_T_IOV_MAX;1
PREPARE_LOOP;2
_SC_WORD_BIT;1
BYTE_CUTOFF;2
NO_BASE_OF_ENCODED_VALUE;2
MORECORE_CONTIGUOUS;2
__INT_MAX__;3
TTY_NAME_MAX;1
_HAVE_STRING_ARCH_stpcpy;2
__u_char_defined;2
RADIXI;1
PROT_READ;2
bcmp;1
EAFNOSUPPORT;2
__SIZE_TYPE__;1
_XOPEN_REALTIME_THREADS;1
GNULIB_FREOPEN_SAFER;1
_SC_LEVEL2_CACHE_LINESIZE;1
FE_TONEAREST;17
__NR_futex;1
FLOAT_TYPE;2
__LIBC_INTERNAL_MATH_INLINES;9
HAVE_ADJTIME;1
SIOCSPGRP;1
_SC_LEVEL3_CACHE_SIZE;1
B230400;1
_SYS_SELECT_H;3
__ASSUME_RECVMMSG_SYSCALL_WITH_SOCKETCALL;1
DL_PLATFORM_INIT;2
GET_NPROCS_PARSER;1
_SC_SCHAR_MAX;1
__ino_t_defined;3
__USE_STRING_INLINES;2
_CS_XBS5_ILP32_OFF32_LDFLAGS;1
__PTHREAD_MUTEX_HAVE_PREV;7
_POSIX_THREAD_SPORADIC_SERVER;1
SYSDEP_KNOWN_LIBRARY_NAMES;1
MIN_NEEDED_INPUT;3
RLIMIT_NPROC;1
_SC_V7_LPBIG_OFFBIG;1
DEV_NULL_MINOR;3
USE___THREAD;1
_SC_REGEX_VERSION;1
LOCALE_HOME;1
CLOCK_PROCESS_CPUTIME_ID;2
SIOCGIFINDEX;2
HAVE_CLEANUP_JMP_BUF;1
HAVE_AUX_SECURE;4
_SC_MQ_OPEN_MAX;1
SYSDEP_GETRES;1
NAME_MAX;5
__SH4__;1
__va_copy;3
NO_THREADS;2
_POSIX2_LOCALEDEF;2
HAVE_SENDFILE;18
OBSTACK_INTERFACE_VERSION;1
MUTEX_HINT_REL;1
MSG_NOSIGNAL;2
YYPRINT;2
atomic_increment_val;1
__GLIBC_MINOR__;2
EXTERNAL_MAP_FROM_FD;1
h_errno;1
UINT_FAST64_MAX;1
internal_function;6
TM_YEAR_BASE;1
B38400;1
KERN_INVALID_LEDGER;2
AF_INET;1
INADDR_LOOPBACK;2
END_LOOP;1
N;9
_SC_ADVISORY_INFO;1
EOVERFLOW;5
O_ASYNC;1
POSTPROCESS;1
noteven;2
MMAP2_PAGE_SHIFT;3
_IO_pos_adjust;1
NEED_DL_SYSINFO;15
PRId64;1
ENOENT;2
SPRINTF_CHAR;7
__FP_FRAC_SUB_4;1
NO___MP_DBL;1
YYTYPE_UINT16;1
N_DRELOFF;1
RLIMIT_MEMLOCK;1
__SHMEDIA__;2
PTR_DEMANGLE;55
RES_USE_EDNS0;1
ORIENT;4
catomic_max;1
HAVE_LINK;2
MAXSYMLINKS;1
EFBIG;2
EXPORT_RPC_SYMBOLS;57
gai_create_helper_thread;1
PRIxFAST64;1
isleap_sum;1
__NR_eventfd2;2
PRIdLEAST16;1
_POSIX_V6_ILP32_OFF32;2
N_SYMOFF;1
ONEBYTE_BODY;1
GLIBC_2_1_1;1
ARCH_PLTENTER_MEMBERS;1
PRINT_FPHEX_LONG_DOUBLE;1
isgraph;1
__pic__;1
__SPE__;1
SIZE_LONG_LONG_INT_64;2
__ARM_ARCH_5__;1
TZ_DOMAIN;2
__ASSUME_GETDENTS64_SYSCALL;4
_SC_XOPEN_CRYPT;1
ENOSYS;3
_SYS_PLATFORM_PPC_H;1
YYENABLE_NLS;1
NGROUPS;2
sparc;4
_BITS_POSIX_OPT_H;1
_HAVE_STRING_ARCH_strcpy;2
SOCK_DCCP;2
STRNLEN;2
size_t;1
_SC_PII_OSI_CLTS;1
HAVE_WCTYPE_H;6
DL_SYSDEP_OSCHECK;2
__attribute__;2
_COMPLEX_H_MATHDEF;1
ALIGN;1
IREL;1
BODY;1
GLIBC_2_4;3
_XOPEN_SHM;1
__INTEL_COMPILER;1
atomic_compare_and_exchange_bool_acq;1
catomic_decrement_val;1
BINDINGDIR;1
YYTYPE_INT16;1
_SYS_CDEFS_H;1
MACH_RCV_LARGE;2
_MQUEUE_H;2
_POSIX_PII_INTERNET_STREAM;1
_SC_THREAD_THREADS_MAX;1
MORE_CODE;1
SIZE_INT_32;26
_Mlong_double_;2
__ASSUME_EVENTFD2;2
_SC_THREAD_SPORADIC_SERVER;1
_POSIX_PII_INTERNET;1
_PC_PRIO_IO;1
HAVE_BUILTIN_MEMSET;1
NAME;1
CLOSE_ALL_FDS;1
sc_pc;1
NBPG;1
ultrix;1
PRIdFAST32;1
isless;1
_SC_XBS5_LP64_OFF64;1
_STATVFSBUF_F_UNUSED;3
_GNU_SOURCE;24
SYSDEP_SETTIME;1
__undef_LINUX_KERNEL_H;1
__LITTLE_ENDIAN__;6
__ASSUME_SENDMMSG_SOCKETCALL;2
__libc_pread;2
WAIT_IN_CHILD;8
_POSIX_IPV6;1
_IO_waitpid;2
DL_PLATFORM_AUXV;2
__CYGWIN__;2
_SC_2_PBS_LOCATE;1
O_LARGEFILE;12
WCSCPY;2
MCL_CURRENT;1
RESOLVSORT;10
_HAVE_STAT___UNUSED1;2
_POSIX_SYSTEM_DATABASE_R;1
M_KEEP;1
EINTR;4
_MSC_VER;17
PARAMS;4
LOCALE_WORKS;2
_SC_V7_ILP32_OFF32;1
_SC_2_UPE;1
PRId32;1
O_NDELAY;1
ELF_MACHINE_START_ADDRESS;1
_SC_NL_ARGMAX;1
DBL_MANT_DIG;8
_SC_LEVEL1_ICACHE_ASSOC;1
HAVE___ARGZ_NEXT;1
MORE_ELF_HEADER_DATA;1
_SC_HOST_NAME_MAX;1
_SC_SHRT_MIN;1
SHRT_MAX;1
BIG_BANG;1
SO_PASSCRED;6
N_UNDF;1
__OPTIMIZE_SIZE__;2
_BITS_STROPTS_H;1
RE_DUP_MAX;2
PRIxFAST16;1
_HURD_ERRNO;1
GNUC_or_lint;4
__TLS_GET_ADDR;1
PR_FP_EXC_PRECISE;1
_ISwbit;1
__set_errno;12
STPNCPY;1
_SC_REALTIME_SIGNALS;1
USE_MULTIARCH;6
__ARC_NORM__;1
EUNATCH;2
PRIxLEAST8;1
_POSIX_SHELL;1
CR2;2
ENOMEM;2
_POSIX_THREAD_PRIORITY_SCHEDULING;1
MIN_ELOOP_THRESHOLD;1
HAVE_STDINT_H;6
_BITS_XTITYPES_H;4
_DIRENT_HAVE_D_RECLEN;6
__GMP_H__;3
__STRICT_ANSI__;25
_TMS320C6X;1
MIPSEL;1
_CS_POSIX_V6_LP64_OFF64_CFLAGS;1
__nocona__;2
HAVE_FLOCKFILE;7
aio_start_notify_thread;1
_SYS_STATVFS_H;3
REGS;3
EXTRACT_WORDS64;1
__GTHREAD_MUTEX_INIT_FUNCTION;1
MACH_IPC_COMPAT;1
_IBMR2;1
EPROTO;2
_CTHREADS_;2
_SC_AIO_LISTIO_MAX;1
DISABLE_PREFERRED_MEMORY_INSTRUCTION;3
HAVE_NETROSE_ROSE_H;2
LIBC_START_MAIN;1
HAVE_ASM_GLOBAL_DOT_NAME;6
HAVE_VALUES_H;1
_GCC_LIMITS_H_;1
_FPU_GETCW;1
ADJTIMEX;1
_LONG_LONG_LIMB;3
_POSIX2_SW_DEV;1
_SC_PASS_MAX;1
_BITS_ATOMIC_H;1
__geode__;2
_LOOSE_KERNEL_NAMES;1
_SC_BASE;1
_AIX;11
__NR_sendmmsg;1
TAB1;2
__MIPSEL;1
USE_AS_STRPBRK;3
libc_feholdexcept_setround;1
ENCRYPT_NAMES;1
__hpux__;1
NOW;7
HAVE_NETAX25_AX25_H;2
tmpfile;1
USE_LDCONFIG;3
pltexit;1
__ILP32_OFF32_CFLAGS;1
__ASSUME_PRLIMIT64;2
_FPU_RC_ZERO;3
PRIX32;1
DEFAULT_CHECK_ACTION;1
BS0;2
short;1
ENOTCONN;2
HAVE_DECL_FFLUSH_UNLOCKED;1
_HAVE_STAT64___UNUSED4;1
__socklen_t_defined;5
__timer_t_defined;1
__USE_XOPEN;97
SIOCGSTAMP;1
GET_LOW_WORD;1
ESHUTDOWN;2
DL_SYSINFO_IMPLEMENTATION;2
_IEEE_FP_INEXACT;9
__linux__;4
__ieee754_asin;1
atomic_decrement_if_positive;1
__sigset_t_defined;4
_CS_POSIX_V7_ILP32_OFF32_LINTFLAGS;1
EH_RETURN_STACKADJ_RTX;2
__restrict_arr;1
LONG_BIT;3
MEMMOVE_CHK;1
EPROGUNAVAIL;2
WCSLEN;2
PROCINFO_CLASS;8
aio_create_helper_thread;1
_GETOPT_H;1
NO_CANCELLATION;11
_XOPEN_SOURCE_EXTENDED;1
__GTHREAD_MUTEX_INIT;1
MORECORE;1
TAB2;2
ROUNDING_TESTS_float;1
HAVE_DECL_STRERROR_R;3
HAVE_DIRENT_H;3
__USE_EXTERN_INLINES;28
OMAGIC;1
YY_LOCATION_PRINT;1
B4000000;1
_SC_BC_STRING_MAX;2
CLOCKS_PER_SEC;1
SUNSECURITY;3
getifaddrs;1
_MIPS_ISA_MIPS5;3
__O_LARGEFILE;1
RESET_INPUT_BUFFER;2
_SC_MESSAGE_PASSING;1
__USING_SJLJ_EXCEPTIONS__;1
GMON_START_ARRAY_SECTION;1
HAVE_TM_ZONE;1
HAVE_NL_LOCALE_NAME;1
__ARM_ARCH_3M__;1
__USE_KERNEL_XATTR_DEFS;1
malloc;2
__undef_LINK_MAX;8
NR_OPEN;8
_POSIX_PII_SOCKET;1
_POSIX_PII_OSI_COTS;1
_SC_V6_ILP32_OFF32;1
HANDLE_DIGITS_DOTS;4
DEFAULT_TRIM_THRESHOLD;1
NEED__RES_HCONF;2
PRIiLEAST16;1
EBFONT;2
FP_RND_NEAREST;1
IFA_F_OPTIMISTIC;1
LC_TIME;1
USE_FOR_STRCHRNUL;6
_CS_V6_WIDTH_RESTRICTED_ENVS;1
_POSIX_PRIORITY_SCHEDULING;4
__ASSUME_ACCEPT4_SYSCALL;2
TIME_T_MIN;1
_SC_PII_OSI_M;1
__isctype_f;1
BYTE_ORDER;26
O_DIRECTORY;3
HAVE_RM_CTX;2
__mcfisaaplus__;1
FE_INVALID_COMPARE;1
TIMER_MAX;2
stackinfo_alloca_round;1
YYFREE;2
_POSIX_SYSTEM_DATABASE;1
HAVE_BCOPY;1
_HURD_H_EXTERN_INLINE;1
LOCK;3
libc_feupdateenvl;1
__mcffpu__;5
MINSPERHOUR;1
__pentium__;2
PRIXLEAST64;1
_Noreturn;2
__EPOLL_PACKED;1
SI_ASYNCNL;1
_SYS_EPOLL_H;5
M_68010;1
EL3HLT;2
__ARM_ARCH_5T__;1
__ccoshf;1
_LINK_H;18
MORECORE_CLEARS;4
_DL_CACHE_DEFAULT_ID;2
_SC_SEM_VALUE_MAX;1
PTRACE_GETFPREGS;1
NEED_DL_SYSINFO_DSO;12
ARM_SFI_MACROS;1
CLK_TCK;2
_CS_POSIX_V7_LP64_OFF64_LIBS;1
_WIN64;2
o_threshold;1
EXC_MASK_ALL;9
HOST_NAME_MAX;1
__O_RSYNC;1
HAVE_DECL_FPUTS_UNLOCKED;1
WCSTEST;2
_HAVE_STAT___UNUSED5;2
_SC_C_LANG_SUPPORT_R;1
__pentium4__;2
__BIG_ENDIAN__;4
__FAST_MATH__;12
in_divdi3_c;1
TCSASOFT;1
MIN_PAGE_SIZE;2
TIME_T_MAX;1
ENOLINK;2
COSF;2
send_flags;1
__ceilf;2
opensource;2
_HURD_USERLINK_H_EXTERN_INLINE;1
CPU_FAMILY;2
__undef__LINUX_COMPILER_H;1
DL_CALL_FCT;1
NEED_NULL_POINTER;1
IEEE_DOUBLE_MIXED_ENDIAN;2
EXTRA_ARGS;2
mutex_init;1
O_SYNC;1
GLIBC_2_3;10
SINCOSF;2
__undef_ARG_MAX;9
__mips16;13
FATAL_PREPARE_INCLUDE;2
ADJTIME;1
_POSIX_SYNCHRONIZED_IO;2
strdup;2
