guard;line;td
#if YYERROR_VERBOSE;612;1
# ifndef yystrlen;613;1
# if defined __GLIBC__ && defined _STRING_H;614;2
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);617;4
# ifndef yystpcpy;633;1
# if defined __GLIBC__ && defined _STRING_H && defined _GNU_SOURCE;634;3
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);637;4
# ifndef yytnamerr;655;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);770;4
#ifdef YYPARSE_PARAM;791;1
#if defined __STDC__ || defined __cplusplus;792;2
#if defined __STDC__ || defined __cplusplus;798;2
#ifdef YYPARSE_PARAM;807;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);808;4
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);817;4
#if YYERROR_VERBOSE;839;1
#ifdef yyoverflow;865;1
# ifndef YYSTACK_RELOCATE;877;1
#if ! YYERROR_VERBOSE;1281;1
#if !defined(yyoverflow) || YYERROR_VERBOSE;1371;2
#ifndef yyoverflow;1391;1
#if YYERROR_VERBOSE;1395;1
#ifdef HAVE_GETOPT_H;5;1
#ifndef EXEC_BACKEND;263;1
#ifdef HAVE_SETSID;330;1
#ifdef ACLDEBUG;104;1
#ifdef ACLDEBUG;129;1
#ifdef ACLDEBUG;149;1
#ifdef ACLDEBUG;2483;1
#ifdef ACLDEBUG;2490;1
#ifdef NOT_USED;585;1
#if SIZEOF_DATUM == 8;181;1
#ifndef WIN32;282;1
#ifdef WIN32;432;1
#ifdef WIN32;446;1
#ifdef USE_ASSERT_CHECKING;425;1
#ifdef NOT_USED;972;1
#ifdef NOT_USED;253;1
#ifdef NOT_USED;318;1
#ifdef NOT_USED;343;1
#ifdef NOT_USED;363;1
#ifdef NOT_USED;568;1
#ifdef NOT_USED;593;1
#ifdef USE_ASSERT_CHECKING;707;1
#ifdef REDUCED_ALTER_TABLE_LOCK_LEVELS;1633;1
#ifdef HAVE_SYMLINK;110;1
#ifdef HAVE_SYMLINK;197;1
#ifdef NOT_USED;1193;1
