branch;line;nd
#if defined(MAGICKCORE_HAVE_POSIX_FALLOCATE);2300;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2363;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2370;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2407;1
#if defined(MAGICKCORE_HAVE_MMAP);2426;1
#else;2431;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2496;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2527;1
#if defined(__cplusplus) || defined(c_plusplus);5;1
#if defined(__cplusplus) || defined(c_plusplus);43;1
#if defined(__cplusplus) || defined(c_plusplus);9;1
#if defined(__cplusplus) || defined(c_plusplus);187;1
#if defined(__cplusplus) || defined(c_plusplus);4;1
#if defined(__cplusplus) || defined(c_plusplus);71;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);36;1
#if defined(__cplusplus) || defined(c_plusplus);47;1
#if defined(__cplusplus) || defined(c_plusplus);78;1
#if !defined(MAGICKCORE_OPENMP_SUPPORT) || (MAGICKCORE_QUANTUM_DEPTH <= 8);284;1
#else;286;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);351;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);392;1
#if defined(ECANCELED);789;1
#if defined(__cplusplus) || defined(c_plusplus);1744;1
#if defined(SIGBUS);1747;1
#if defined(__cplusplus) || defined(c_plusplus);1753;1
#if !defined(MAGICKCORE_HAVE_PWRITE);1806;1
#if !defined(MAGICKCORE_HAVE_PWRITE);1813;1
#else;1816;1
#if defined(MAGICKCORE_HAVE_POSIX_FALLOCATE);1858;1
#if defined(SIGBUS);1868;1
#if !defined(MAGICKCORE_HAVE_PREAD);2303;1
#if !defined(MAGICKCORE_HAVE_PREAD);2310;1
#else;2313;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);2788;1
#if defined(__cplusplus) || defined(c_plusplus);4;1
#if defined(__cplusplus) || defined(c_plusplus);55;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);246;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);352;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);456;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);556;1
#if defined(__cplusplus) || defined(c_plusplus);4;1
#if defined(__cplusplus) || defined(c_plusplus);15;1
#if defined(MAGICKCORE_CIPHER_SUPPORT);21;1
#else;726;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(__cplusplus) || defined(c_plusplus);11;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(__cplusplus) || defined(c_plusplus);11;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);164;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(__cplusplus) || defined(c_plusplus);31;1
#if defined(__cplusplus) || defined(c_plusplus);7;1
#if defined(__cplusplus) || defined(c_plusplus);110;1
#if defined(__cplusplus) || defined(c_plusplus);972;1
#if defined(__cplusplus) || defined(c_plusplus);986;1
#if defined(__cplusplus) || defined(c_plusplus);1025;1
#if defined(__cplusplus) || defined(c_plusplus);1037;1
#if defined(__cplusplus) || defined(c_plusplus);5;1
#if defined(__cplusplus) || defined(c_plusplus);70;1
#if defined(__cplusplus) || defined(c_plusplus);6;1
#if defined(__cplusplus) || defined(c_plusplus);18;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);93;1
#if defined(__cplusplus) || defined(c_plusplus);131;1
#if defined(__cplusplus) || defined(c_plusplus);146;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);174;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);181;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(__cplusplus) || defined(c_plusplus);10;1
#if defined(__cplusplus) || defined(c_plusplus);7;1
#if defined(__cplusplus) || defined(c_plusplus);93;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);159;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);216;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);280;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);474;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);482;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);540;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);607;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);626;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);647;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);666;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);687;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);736;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);760;1
