guard;line;td
#if ! defined INTTYPES_H || defined _GL_JUST_INCLUDE_SYSTEM_INTTYPES_H;5;2
# if @HAVE_INTTYPES_H@;6;1
# if defined __cplusplus && ! defined __STDC_FORMAT_MACROS;7;2
#if ! defined INTTYPES_H && ! defined _GL_JUST_INCLUDE_SYSTEM_INTTYPES_H;12;2
#ifndef __GLIBC__;14;1
#if !(INT_MIN == INT32_MIN && INT_MAX == INT32_MAX);18;4
#if defined _TNS_R_TARGET;21;1
#if !defined PRId8 || @PRI_MACROS_BROKEN@;26;2
# ifdef INT8_MAX;28;1
#if !defined PRIi8 || @PRI_MACROS_BROKEN@;32;2
# ifdef INT8_MAX;34;1
#if !defined PRIo8 || @PRI_MACROS_BROKEN@;38;2
# ifdef UINT8_MAX;40;1
#if !defined PRIu8 || @PRI_MACROS_BROKEN@;44;2
# ifdef UINT8_MAX;46;1
#if !defined PRIx8 || @PRI_MACROS_BROKEN@;50;2
# ifdef UINT8_MAX;52;1
#if !defined PRIX8 || @PRI_MACROS_BROKEN@;56;2
# ifdef UINT8_MAX;58;1
#if !defined PRId16 || @PRI_MACROS_BROKEN@;62;2
# ifdef INT16_MAX;64;1
#if !defined PRIi16 || @PRI_MACROS_BROKEN@;68;2
# ifdef INT16_MAX;70;1
#if !defined PRIo16 || @PRI_MACROS_BROKEN@;74;2
# ifdef UINT16_MAX;76;1
#if !defined PRIu16 || @PRI_MACROS_BROKEN@;80;2
# ifdef UINT16_MAX;82;1
#if !defined PRIx16 || @PRI_MACROS_BROKEN@;86;2
# ifdef UINT16_MAX;88;1
#if !defined PRIX16 || @PRI_MACROS_BROKEN@;92;2
# ifdef UINT16_MAX;94;1
#if !defined PRId32 || @PRI_MACROS_BROKEN@;98;2
# ifdef INT32_MAX;100;1
#if !defined PRIi32 || @PRI_MACROS_BROKEN@;104;2
# ifdef INT32_MAX;106;1
#if !defined PRIo32 || @PRI_MACROS_BROKEN@;110;2
# ifdef UINT32_MAX;112;1
#if !defined PRIu32 || @PRI_MACROS_BROKEN@;116;2
# ifdef UINT32_MAX;118;1
#if !defined PRIx32 || @PRI_MACROS_BROKEN@;122;2
# ifdef UINT32_MAX;124;1
#if !defined PRIX32 || @PRI_MACROS_BROKEN@;128;2
# ifdef UINT32_MAX;130;1
#ifdef INT64_MAX;134;1
# if (@APPLE_UNIVERSAL_BUILD@ ? defined _LP64 : @INT64_MAX_EQ_LONG_MAX@);135;3
# elif defined _MSC_VER || defined __MINGW32__;137;2
# elif @HAVE_LONG_LONG_INT@ && LONG_MAX >> 30 == 1;139;2
# if !defined PRId64 || @PRI_MACROS_BROKEN@;142;2
# if !defined PRIi64 || @PRI_MACROS_BROKEN@;146;2
#ifdef UINT64_MAX;151;1
# if (@APPLE_UNIVERSAL_BUILD@ ? defined _LP64 : @UINT64_MAX_EQ_ULONG_MAX@);152;3
# elif defined _MSC_VER || defined __MINGW32__;154;2
# elif @HAVE_UNSIGNED_LONG_LONG_INT@ && ULONG_MAX >> 31 == 1;156;2
# if !defined PRIo64 || @PRI_MACROS_BROKEN@;159;2
# if !defined PRIu64 || @PRI_MACROS_BROKEN@;163;2
# if !defined PRIx64 || @PRI_MACROS_BROKEN@;167;2
# if !defined PRIX64 || @PRI_MACROS_BROKEN@;171;2
#if !defined PRIdLEAST8 || @PRI_MACROS_BROKEN@;176;2
#if !defined PRIiLEAST8 || @PRI_MACROS_BROKEN@;180;2
#if !defined PRIoLEAST8 || @PRI_MACROS_BROKEN@;184;2
#if !defined PRIuLEAST8 || @PRI_MACROS_BROKEN@;188;2
#if !defined PRIxLEAST8 || @PRI_MACROS_BROKEN@;192;2
#if !defined PRIXLEAST8 || @PRI_MACROS_BROKEN@;196;2
#if !defined PRIdLEAST16 || @PRI_MACROS_BROKEN@;200;2
#if !defined PRIiLEAST16 || @PRI_MACROS_BROKEN@;204;2
#if !defined PRIoLEAST16 || @PRI_MACROS_BROKEN@;208;2
#if !defined PRIuLEAST16 || @PRI_MACROS_BROKEN@;212;2
#if !defined PRIxLEAST16 || @PRI_MACROS_BROKEN@;216;2
#if !defined PRIXLEAST16 || @PRI_MACROS_BROKEN@;220;2
#if !defined PRIdLEAST32 || @PRI_MACROS_BROKEN@;224;2
#if !defined PRIiLEAST32 || @PRI_MACROS_BROKEN@;228;2
#if !defined PRIoLEAST32 || @PRI_MACROS_BROKEN@;232;2
#if !defined PRIuLEAST32 || @PRI_MACROS_BROKEN@;236;2
#if !defined PRIxLEAST32 || @PRI_MACROS_BROKEN@;240;2
#if !defined PRIXLEAST32 || @PRI_MACROS_BROKEN@;244;2
#ifdef INT64_MAX;248;1
# if !defined PRIdLEAST64 || @PRI_MACROS_BROKEN@;249;2
# if !defined PRIiLEAST64 || @PRI_MACROS_BROKEN@;253;2
#ifdef UINT64_MAX;258;1
# if !defined PRIoLEAST64 || @PRI_MACROS_BROKEN@;259;2
# if !defined PRIuLEAST64 || @PRI_MACROS_BROKEN@;263;2
# if !defined PRIxLEAST64 || @PRI_MACROS_BROKEN@;267;2
# if !defined PRIXLEAST64 || @PRI_MACROS_BROKEN@;271;2
#if !defined PRIdFAST8 || @PRI_MACROS_BROKEN@;276;2
# if INT_FAST8_MAX > INT32_MAX;278;2
#if !defined PRIiFAST8 || @PRI_MACROS_BROKEN@;284;2
# if INT_FAST8_MAX > INT32_MAX;286;2
#if !defined PRIoFAST8 || @PRI_MACROS_BROKEN@;292;2
# if UINT_FAST8_MAX > UINT32_MAX;294;2
#if !defined PRIuFAST8 || @PRI_MACROS_BROKEN@;300;2
# if UINT_FAST8_MAX > UINT32_MAX;302;2
#if !defined PRIxFAST8 || @PRI_MACROS_BROKEN@;308;2
# if UINT_FAST8_MAX > UINT32_MAX;310;2
#if !defined PRIXFAST8 || @PRI_MACROS_BROKEN@;316;2
# if UINT_FAST8_MAX > UINT32_MAX;318;2
#if !defined PRIdFAST16 || @PRI_MACROS_BROKEN@;324;2
# if INT_FAST16_MAX > INT32_MAX;326;2
#if !defined PRIiFAST16 || @PRI_MACROS_BROKEN@;332;2
# if INT_FAST16_MAX > INT32_MAX;334;2
#if !defined PRIoFAST16 || @PRI_MACROS_BROKEN@;340;2
# if UINT_FAST16_MAX > UINT32_MAX;342;2
#if !defined PRIuFAST16 || @PRI_MACROS_BROKEN@;348;2
# if UINT_FAST16_MAX > UINT32_MAX;350;2
#if !defined PRIxFAST16 || @PRI_MACROS_BROKEN@;356;2
# if UINT_FAST16_MAX > UINT32_MAX;358;2
#if !defined PRIXFAST16 || @PRI_MACROS_BROKEN@;364;2
# if UINT_FAST16_MAX > UINT32_MAX;366;2
#if !defined PRIdFAST32 || @PRI_MACROS_BROKEN@;372;2
# if INT_FAST32_MAX > INT32_MAX;374;2
#if !defined PRIiFAST32 || @PRI_MACROS_BROKEN@;380;2
# if INT_FAST32_MAX > INT32_MAX;382;2
#if !defined PRIoFAST32 || @PRI_MACROS_BROKEN@;388;2
# if UINT_FAST32_MAX > UINT32_MAX;390;2
#if !defined PRIuFAST32 || @PRI_MACROS_BROKEN@;396;2
# if UINT_FAST32_MAX > UINT32_MAX;398;2
#if !defined PRIxFAST32 || @PRI_MACROS_BROKEN@;404;2
# if UINT_FAST32_MAX > UINT32_MAX;406;2
#if !defined PRIXFAST32 || @PRI_MACROS_BROKEN@;412;2
# if UINT_FAST32_MAX > UINT32_MAX;414;2
#ifdef INT64_MAX;420;1
# if !defined PRIdFAST64 || @PRI_MACROS_BROKEN@;421;2
# if !defined PRIiFAST64 || @PRI_MACROS_BROKEN@;425;2
#ifdef UINT64_MAX;430;1
# if !defined PRIoFAST64 || @PRI_MACROS_BROKEN@;431;2
# if !defined PRIuFAST64 || @PRI_MACROS_BROKEN@;435;2
# if !defined PRIxFAST64 || @PRI_MACROS_BROKEN@;439;2
# if !defined PRIXFAST64 || @PRI_MACROS_BROKEN@;443;2
#if !defined PRIdMAX || @PRI_MACROS_BROKEN@;448;2
# if @INT32_MAX_LT_INTMAX_MAX@;450;1
#if !defined PRIiMAX || @PRI_MACROS_BROKEN@;456;2
# if @INT32_MAX_LT_INTMAX_MAX@;458;1
#if !defined PRIoMAX || @PRI_MACROS_BROKEN@;464;2
# if @UINT32_MAX_LT_UINTMAX_MAX@;466;1
#if !defined PRIuMAX || @PRI_MACROS_BROKEN@;472;2
# if @UINT32_MAX_LT_UINTMAX_MAX@;474;1
#if !defined PRIxMAX || @PRI_MACROS_BROKEN@;480;2
# if @UINT32_MAX_LT_UINTMAX_MAX@;482;1
#if !defined PRIXMAX || @PRI_MACROS_BROKEN@;488;2
# if @UINT32_MAX_LT_UINTMAX_MAX@;490;1
#if !defined PRIdPTR || @PRI_MACROS_BROKEN@;496;2
# ifdef INTPTR_MAX;498;1
#if !defined PRIiPTR || @PRI_MACROS_BROKEN@;502;2
# ifdef INTPTR_MAX;504;1
#if !defined PRIoPTR || @PRI_MACROS_BROKEN@;508;2
# ifdef UINTPTR_MAX;510;1
#if !defined PRIuPTR || @PRI_MACROS_BROKEN@;514;2
# ifdef UINTPTR_MAX;516;1
#if !defined PRIxPTR || @PRI_MACROS_BROKEN@;520;2
# ifdef UINTPTR_MAX;522;1
#if !defined PRIXPTR || @PRI_MACROS_BROKEN@;526;2
# ifdef UINTPTR_MAX;528;1
#if !defined SCNd8 || @PRI_MACROS_BROKEN@;532;2
# ifdef INT8_MAX;534;1
#if !defined SCNi8 || @PRI_MACROS_BROKEN@;538;2
# ifdef INT8_MAX;540;1
#if !defined SCNo8 || @PRI_MACROS_BROKEN@;544;2
# ifdef UINT8_MAX;546;1
#if !defined SCNu8 || @PRI_MACROS_BROKEN@;550;2
# ifdef UINT8_MAX;552;1
#if !defined SCNx8 || @PRI_MACROS_BROKEN@;556;2
# ifdef UINT8_MAX;558;1
#if !defined SCNd16 || @PRI_MACROS_BROKEN@;562;2
# ifdef INT16_MAX;564;1
#if !defined SCNi16 || @PRI_MACROS_BROKEN@;568;2
# ifdef INT16_MAX;570;1
#if !defined SCNo16 || @PRI_MACROS_BROKEN@;574;2
# ifdef UINT16_MAX;576;1
#if !defined SCNu16 || @PRI_MACROS_BROKEN@;580;2
# ifdef UINT16_MAX;582;1
#if !defined SCNx16 || @PRI_MACROS_BROKEN@;586;2
# ifdef UINT16_MAX;588;1
#if !defined SCNd32 || @PRI_MACROS_BROKEN@;592;2
# ifdef INT32_MAX;594;1
#if !defined SCNi32 || @PRI_MACROS_BROKEN@;598;2
# ifdef INT32_MAX;600;1
#if !defined SCNo32 || @PRI_MACROS_BROKEN@;604;2
# ifdef UINT32_MAX;606;1
#if !defined SCNu32 || @PRI_MACROS_BROKEN@;610;2
# ifdef UINT32_MAX;612;1
#if !defined SCNx32 || @PRI_MACROS_BROKEN@;616;2
# ifdef UINT32_MAX;618;1
#ifdef INT64_MAX;622;1
# if (@APPLE_UNIVERSAL_BUILD@ ? defined _LP64 : @INT64_MAX_EQ_LONG_MAX@);623;3
# elif defined _MSC_VER || defined __MINGW32__;625;2
# elif @HAVE_LONG_LONG_INT@ && LONG_MAX >> 30 == 1;627;2
# if !defined SCNd64 || @PRI_MACROS_BROKEN@;630;2
# if !defined SCNi64 || @PRI_MACROS_BROKEN@;634;2
