branch;line;nd
# if NETINET6;94;1
#if NETINET6;102;1
#if 0;81;1
#if SM_VA_STD;376;1
#else;378;1
#if _FFR_WORKERS_POOL;4;2
#ifdef SIGSTOP;35;1
#if SM_VA_STD;52;1
#else;54;1
#if !SM_CONF_STRL;32;1
#else;39;1
#if SM_CONF_SETITIMER;6;1
#if _FFR_SLEEP_USE_SELECT > 0;14;1
#if defined(_FFR_MAX_SLEEP_TIME) && _FFR_MAX_SLEEP_TIME > 2;17;1
#ifndef sigmask;20;1
#if SM_CONF_SETITIMER;48;1
#else;51;1
#if SM_CONF_SETITIMER;58;1
#else;64;1
#if SM_CONF_SETITIMER;72;1
#else;74;1
# if SM_CONF_SETITIMER;102;1
# else;111;1
# if SM_CONF_SETITIMER;125;1
# if SM_CONF_SETITIMER;152;1
# else;158;1
#if SM_CONF_SETITIMER;167;1
#if SM_CONF_SETITIMER;171;1
#else;177;1
#if SM_CONF_SETITIMER;200;1
#else;203;1
#if SM_CONF_SETITIMER;206;1
#else;213;1
#if SM_CONF_SETITIMER;252;1
#else;254;1
#if SM_CONF_SETITIMER;259;1
#else;261;1
#if SM_CONF_SETITIMER;282;1
#else;304;1
#if SM_CONF_SETITIMER;314;1
#else;321;1
#if SM_CONF_SETITIMER;328;1
#else;337;1
# if !HAVE_NANOSLEEP;344;1
#ifndef SLEEP_T;348;1
#if HAVE_NANOSLEEP;355;1
#else;363;3
#if !HAVE_NANOSLEEP;453;1
#if NEEDPUTENV;7;2
#if !HASUNSETENV;73;1
#if SM_CONF_BROKEN_STRTOD;93;1
#if SM_CONF_GETOPT;96;1
#if SM_CONF_LDAP_INITIALIZE;99;1
#if SM_CONF_LDAP_MEMFREE;102;1
#if SM_CONF_LONGLONG;105;1
#if SM_CONF_MEMCHR;108;1
#if SM_CONF_MSG;111;1
#if SM_CONF_QUAD_T;114;1
#if SM_CONF_SEM;117;1
#if SM_CONF_SETITIMER;120;1
#if SM_CONF_SIGSETJMP;123;1
#if SM_CONF_SHM;126;1
#if SM_CONF_SHM_DELAY;129;1
#if SM_CONF_SSIZE_T;132;1
#if SM_CONF_STDBOOL_H;135;1
#if SM_CONF_STDDEF_H;138;1
#if 0;141;2
#if SM_CONF_SYS_CDEFS_H;146;1
#if SM_CONF_SYSEXITS_H;149;1
#if SM_CONF_UID_GID;152;1
#if DO_NOT_USE_STRCPY;155;1
