guard;line;td
#if MAGICKCORE_QUANTUM_DEPTH > 16;135;1
#ifdef PNG_SETJMP_SUPPORTED;149;1
# ifndef IMPNG_SETJMP_IS_THREAD_SAFE;150;1
# ifdef IMPNG_SETJMP_NOT_THREAD_SAFE;153;1
#ifdef PNG_MNG_FEATURES_SUPPORTED;160;1
# ifndef PNG_READ_EMPTY_PLTE_SUPPORTED;161;1
# ifndef PNG_WRITE_EMPTY_PLTE_SUPPORTED;164;1
#ifndef PNG_UINT_31_MAX;168;1
#if defined(JNG_SUPPORTED);205;1
#ifdef MNG_OBJECT_BUFFERS;236;1
#ifdef MNG_OBJECT_BUFFERS;265;1
#ifndef PNG_READ_EMPTY_PLTE_SUPPORTED;275;1
#if defined(PNG_WRITE_EMPTY_PLTE_SUPPORTED) ||     defined(PNG_MNG_FEATURES_SUPPORTED);282;2
#ifndef PNG_READ_EMPTY_PLTE_SUPPORTED;330;1
#ifdef MNG_BASI_SUPPORTED;376;1
#if defined(JNG_SUPPORTED);428;1
#if PNG_LIBPNG_VER > 10011;432;1
#if (MAGICKCORE_QUANTUM_DEPTH >= 16);433;1
#if defined(MAGICKCORE_PNG_DELEGATE);642;1
#if defined(__cplusplus) || defined(c_plusplus);643;2
#if (PNG_LIBPNG_VER > 10011);646;1
#if defined(JNG_SUPPORTED);666;1
#if defined(__cplusplus) || defined(c_plusplus);693;2
#if PNG_LIBPNG_VER > 10011;696;1
#if defined(__cplusplus) || defined(c_plusplus);697;2
#if !defined(PNG_READ_EMPTY_PLTE_SUPPORTED) &&     !defined(PNG_MNG_FEATURES_SUPPORTED);722;2
#ifdef PNG_WRITE_EMPTY_PLTE_SUPPORTED;806;1
#ifdef MNG_OBJECT_BUFFERS;832;1
#if (PNG_LIBPNG_VER < 10500);934;1
#ifdef PNG_USER_MEM_SUPPORTED;953;1
#if PNG_LIBPNG_VER >= 10400;954;1
#if defined(__cplusplus) || defined(c_plusplus);970;2
#if defined(PNG_UNKNOWN_CHUNKS_SUPPORTED);1040;1
#ifdef PNG_UNKNOWN_CHUNKS_SUPPORTED;1141;1
#ifdef PNG_APNG_SUPPORTED;1150;1
#if (PNG_LIBPNG_VER < 10200);1194;1
#if (PNG_LIBPNG_VER >= 10400);1199;1
# ifndef PNG_TRANSFORM_GRAY_TO_RGB;1200;1
#ifdef PNG_USER_MEM_SUPPORTED;1236;1
#ifdef IMPNG_SETJMP_NOT_THREAD_SAFE;1262;1
#ifdef IMPNG_SETJMP_NOT_THREAD_SAFE;1277;1
#ifdef PNG_BENIGN_ERRORS_SUPPORTED;1280;1
#if defined(PNG_MNG_FEATURES_SUPPORTED);1287;1
#if defined(PNG_READ_EMPTY_PLTE_SUPPORTED);1291;1
#if defined(PNG_SKIP_sRGB_CHECK_PROFILE) && defined(PNG_SET_OPTION_SUPPORTED);1316;2
#if defined(PNG_UNKNOWN_CHUNKS_SUPPORTED);1321;1
#if defined(PNG_UNKNOWN_CHUNKS_SUPPORTED);1328;1
#if PNG_LIBPNG_VER < 10700;1329;1
#ifdef PNG_SET_USER_LIMITS_SUPPORTED;1339;1
#if (PNG_LIBPNG_VER >= 10400);1340;1
#ifdef PNG_READ_CHECK_FOR_INVALID_INDEX_SUPPORTED;1344;1
#if (PNG_LIBPNG_VER < 10400);1347;1
