branch;line;nd
#ifdef USE_JPILOT;264;1
#ifdef USE_LDAP;272;1
#if 0;485;1
#if 0;548;1
#ifdef USE_JPILOT;616;1
#else;670;1
#ifdef USE_LDAP;684;1
#else;747;1
#ifndef DEV_STANDALONE;865;1
#ifdef DEV_STANDALONE;871;1
#else;876;1
#ifdef DEV_STANDALONE;888;1
#else;890;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;237;1
#ifdef G_OS_WIN32;329;1
#if 0;195;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef PANGO_ENABLE_ENGINE;5;1
#if USE_GTKSPELL;47;2
#if HAVE_SYS_WAIT_H;65;1
#ifdef G_OS_WIN32;70;1
#if USE_GPGME;115;1
#if USE_GPGME;381;1
#if 0;387;1
#if USE_GPGME;428;1
#if USE_GTKSPELL;436;1
#ifndef G_OS_WIN32;613;1
#if USE_GPGME;621;1
#if USE_GTKSPELL;626;1
#if USE_GPGME;774;1
#if USE_GTKSPELL;1031;1
#if USE_GPGME;1035;1
#if USE_GTKSPELL;1413;1
#if USE_GPGME;1423;1
#ifdef G_OS_WIN32;1783;1
#else;1785;1
#if USE_GPGME;2448;1
#if USE_GPGME;3030;1
#if USE_GPGME;3181;1
#if USE_GPGME;3253;1
#if USE_GPGME;3320;1
#if USE_GPGME;3348;1
#if USE_GPGME;3356;1
#if USE_GPGME;3410;1
#if 0;3564;1
#if USE_GPGME;3800;1
#if USE_GPGME;4053;1
#if USE_GTKSPELL;4072;1
#if USE_GPGME;4079;1
#if USE_GPGME;4321;1
#if 0;4326;1
#if USE_GTKSPELL;4345;1
#ifndef G_OS_WIN32;4359;1
#ifndef G_OS_WIN32;4372;1
#if 0;4457;1
#if USE_GPGME;4466;1
#if USE_GTKSPELL;4605;1
#if USE_GPGME;4631;1
#if USE_GPGME;4659;1
#ifdef USE_GTKSPELL;4673;1
#if USE_GPGME;4706;1
#ifndef G_OS_WIN32;4742;1
#if USE_GPGME;4746;1
