guard;line;td
#ifdef RE_ENABLE_I18N;2850;1
#ifdef RE_ENABLE_I18N;2855;1
#ifdef RE_ENABLE_I18N;2862;1
#ifdef RE_ENABLE_I18N;2872;1
#ifdef RE_ENABLE_I18N;2881;1
#ifdef RE_ENABLE_I18N;2905;1
#ifdef RE_ENABLE_I18N;2930;1
# ifdef _LIBC;2935;1
#ifdef RE_ENABLE_I18N;2994;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef __cplusplus;4;1
#ifdef _LIBC;7;1
#if defined (_MSC_VER);22;1
#ifdef GAWK;26;1
#ifdef GAWK;33;1
#if _LIBC;40;1
# if SHLIB_COMPAT (libc, GLIBC_2_0, GLIBC_2_3);42;3
#ifndef _REGEX_H;3;1
#ifdef HAVE_STDDEF_H;5;1
#ifdef HAVE_SYS_TYPES_H;8;1
#ifndef _LIBC;11;1
#ifdef __cplusplus;14;1
#ifdef __USE_GNU;20;1
#ifdef __USE_GNU;48;1
# ifdef RE_DUP_MAX;63;1
#if defined _XOPEN_SOURCE || defined __USE_XOPEN2K;77;2
#ifndef RE_TRANSLATE_TYPE;98;1
# ifdef __USE_GNU;100;1
#ifdef __USE_GNU;104;1
#ifdef __USE_GNU;119;1
#ifdef __USE_GNU;133;1
# ifndef RE_NREGS;140;1
#ifdef __USE_GNU;149;1
#if defined _REGEX_RE_COMP || (defined _LIBC && defined __USE_BSD);172;3
# ifndef _CRAY;173;1
#ifndef __restrict;178;1
# if ! (2 < __GNUC__ || (2 == __GNUC__ && 95 <= __GNUC_MINOR__));179;2
# if defined restrict || 199901L <= __STDC_VERSION__;180;2
#ifndef __restrict_arr;187;1
# if (__GNUC__ > 3 || (__GNUC__ == 3 && __GNUC_MINOR__ >= 1))      && !defined __GNUG__;188;3
#ifdef __cplusplus;204;1
#ifdef GAWK;12;1
#ifdef RE_ENABLE_I18N;58;1
#ifdef RE_ENABLE_I18N;81;1
#ifdef RE_ENABLE_I18N;102;1
#ifdef RE_ENABLE_I18N;151;1
#ifdef _LIBC;156;1
#ifdef _LIBC;212;1
#ifdef RE_ENABLE_I18N;461;1
#ifdef RE_ENABLE_I18N;481;1
#ifdef RE_ENABLE_I18N;543;1
#if DEBUG;553;1
#ifdef RE_ENABLE_I18N;560;1
#ifdef RE_ENABLE_I18N;570;1
#ifdef _LIBC;583;1
#ifdef RE_ENABLE_I18N;659;1
#ifdef RE_ENABLE_I18N;692;1
#ifdef RE_ENABLE_I18N;698;1
#ifdef RE_ENABLE_I18N;703;1
#ifdef RE_ENABLE_I18N;715;1
#ifdef RE_ENABLE_I18N;736;1
#ifdef RE_ENABLE_I18N;753;1
#ifdef DEBUG;760;1
#ifdef RE_ENABLE_I18N;1174;1
#ifdef RE_ENABLE_I18N;1322;1
#ifdef RE_ENABLE_I18N;1366;1
#if defined HAVE_LANGINFO_H || defined HAVE_LANGINFO_CODESET || defined _LIBC;8;3
#if defined HAVE_LOCALE_H || defined _LIBC;11;2
#if defined HAVE_WCHAR_H || defined _LIBC;14;2
#if defined HAVE_WCTYPE_H || defined _LIBC;17;2
#if defined HAVE_STDBOOL_H || defined _LIBC;20;2
#if !defined(ZOS_USS);23;1
