branch;line;nd
#ifdef LDAP_DEBUG;76;3
#else;107;1
#ifdef LDAP_DEFINE_LDAP_DEBUG;121;1
# if defined( HAVE_GMTIME_R );55;1
# else;58;1
# if defined( HAVE_LOCALTIME_R );64;1
# else;67;1
#if defined( USE_GMTIME_R ) && defined( USE_LOCALTIME_R );73;1
#else;76;1
#ifdef LDAP_AVA_NULL;137;1
#ifdef HAVE_CYRUS_SASL;169;1
#ifndef LDAP_PVT_SASL_LOCAL_SSF;219;1
#ifdef USE_MP_BIGNUM;305;1
#elif defined(USE_MP_GMP);315;1
#else;324;2
#ifndef LDAP_PVT_THREAD_H_DONE;6;2
#ifndef LDAP_PVT_THREAD_H_DONE;37;2
#ifdef LDAP_INT_THREAD_ASSERT_MUTEX_OWNER;96;1
#else;98;1
#ifdef LDAP_DEBUG;125;1
#ifndef LDAP_PVT_THREAD_H_DONE;135;1
#ifndef LDAP_PVT_THREAD_H_DONE;159;1
#ifdef SLAPD_CRYPT;65;1
#ifdef _WIN32;124;1
#else;128;1
#ifndef HAVE_MKSTEMP;144;1
#ifdef HAVE_NT_SERVICE_MANAGER;159;2
#ifdef HAVE_NT_EVENT_LOG;180;1
#ifdef HAVE_EBCDIC;186;1
#ifdef HAVE_LONG_LONG;204;2
#ifdef timerdiv;222;1
#else;224;1
#ifdef timermul;227;1
#else;229;1
#ifdef AC_INT4_TYPE;5;1
#ifndef LDAP_FILTER_AND;666;1
#ifndef LDAP_FILTER_OR;669;1
#ifndef LDAP_FILTER_NOT;672;1
#ifndef LDAP_FILTER_EQUALITY;675;1
#ifndef LDAP_FILTER_SUBSTRINGS;678;1
#ifndef LDAP_FILTER_GE;681;1
#ifndef LDAP_FILTER_LE;684;1
#ifndef LDAP_FILTER_PRESENT;687;1
#ifndef LDAP_FILTER_APPROX;690;1
#ifndef LDAP_FILTER_EXT_MATCH;693;1
#ifdef LDAP_NEED_ASSERT;2;1
#if 0;69;1
#ifdef LDAP_SYSLOG;8;1
#ifdef HAVE_WINSOCK;27;1
#if defined(HAVE_EBCDIC) && defined(LDAP_SYSLOG);48;1
#ifdef HAVE_CONSOLE_H;8;1
#ifdef HAVE_CONSOLE_H;31;1
#ifdef HAVE_CONSOLE_H;7;1
#ifdef HAVE_CONSOLE_H;36;1
#else;44;1
#ifdef HAVE_PSAP_H;4;1
#ifdef HAVE_PSAP_H;11;1
#else;43;1
#ifdef HAVE_IO_H;9;1
#if defined( LBER_EXBUFSIZ ) && LBER_EXBUFSIZ > 0;80;2
#else;90;1
#ifdef LBER_TRICKLE;158;1
#else;161;1
#if 0;503;1
#ifdef LDAP_MEMORY_TRACE;11;2
#ifdef LDAP_MEMORY_DEBUG;16;1
#if defined(LDAP_MEMORY_DEBUG) && ((LDAP_MEMORY_DEBUG +0) & 2);19;1
#else;21;1
#ifdef LDAP_PF_LOCAL_SENDMSG;69;1
#ifdef LDAP_MEMORY_TRACE;5;1
#ifdef LDAP_MEMORY_DEBUG;8;2
#else;45;1
#ifdef LDAP_MEMORY_DEBUG;57;2
#else;71;1
