branch;line;nd
#if !(defined _LIBC || (defined __STDC_VERSION__ && __STDC_VERSION__ >= 199901L));491;1
#ifdef DEBUG;501;1
#ifdef RE_ENABLE_I18N;621;1
#ifdef DEBUG;660;1
#ifdef RE_ENABLE_I18N;681;1
#else;693;1
#ifdef DEBUG;730;1
#ifdef DEBUG;962;1
#ifdef RE_ENABLE_I18N;1011;1
#ifdef DEBUG;1111;1
#ifdef HAVE_ALLOCA;1126;1
#ifdef DEBUG;1260;1
#ifdef DEBUG;1309;1
#ifdef RE_ENABLE_I18N;1313;1
#ifdef RE_ENABLE_I18N;1771;1
#ifdef RE_ENABLE_I18N;1794;1
#if 0;1802;1
#if 0;1933;1
#ifdef RE_ENABLE_I18N;1967;2
#ifdef DEBUG;2057;1
#ifdef RE_ENABLE_I18N;2419;1
#ifdef DEBUG;2428;1
#ifdef RE_ENABLE_I18N;2432;1
#ifdef DEBUG;2492;1
#ifdef HAVE_ALLOCA;2659;1
#ifdef HAVE_ALLOCA;2694;1
#ifdef RE_ENABLE_I18N;2842;1
#ifdef RE_ENABLE_I18N;2853;1
#ifdef RE_ENABLE_I18N;2889;1
#ifdef RE_ENABLE_I18N;2908;1
#ifdef RE_ENABLE_I18N;2969;2
#ifdef RE_ENABLE_I18N;3248;1
#ifdef RE_ENABLE_I18N;3291;1
#ifdef RE_ENABLE_I18N;3304;1
#ifdef DEBUG;3425;1
#ifndef SNPRINTF_SIZE_CORR;2;2
#if defined(NO_STRTOULL);4;1
#else;6;1
#if defined(NO_STRTOULL);4;1
#else;6;1
#if defined(HAVE_DEV_TTY) || defined(GIT_WINDOWS_NATIVE);5;2
#else;108;1
#if !defined(__MINGW32__);4;1
#ifndef _NO_OLDNAMES;8;1
#ifndef _MODE_T_;3;2
#ifndef _SSIZE_T_;10;3
#ifndef WIN32_LEAN_AND_MEAN;3;1
#ifndef GIT_WINDOWS_NATIVE;3;1
#ifdef __MINGW32__;12;1
#ifndef NO_IPV6;253;1
#else;308;1
#ifdef GNOME_KEYRING_DEFAULT;6;1
#else;8;2
#ifdef NATIVE_CRLF;19;1
#else;21;1
#ifndef HOST_NAME_MAX;7;1
#ifdef NO_INITGROUPS;10;1
#ifndef NO_IPV6;413;1
#else;432;1
#ifndef NO_IPV6;501;1
#ifndef NO_IPV6;579;1
#ifdef NO_IPV6;619;1
#else;621;1
#ifndef NO_IPV6;625;1
#ifndef NO_IPV6;638;2
#else;706;1
#ifndef NO_IPV6;792;1
#ifdef NO_POSIX_GOODIES;813;1
#else;823;1
#ifdef GIT_WINDOWS_NATIVE;31;1
#ifdef NO_FAST_WORKING_DIRECTORY;17;1
#else;19;1
#if DIFF_DEBUG;3309;1
#if DIFF_DEBUG;81;1
#else;85;1
#ifndef DEFAULT_EDITOR;5;1
#ifndef OBJECT_CREATION_MODE;45;1
#ifndef ewah_malloc;3;1
#ifndef ewah_realloc;6;1
#ifndef ewah_calloc;9;1
#ifdef __GNUC__;21;1
#else;23;1
#ifdef RUNTIME_PREFIX;9;1
#else;11;1
#ifdef RUNTIME_PREFIX;17;1
#ifndef SIGUSR1;293;1
#else;297;1
#ifndef NO_GETTEXT;5;2
#ifdef GETTEXT_POISON;15;1
#ifndef NO_GETTEXT;24;1
#if defined(_) || defined(Q_);3;1
#ifndef NO_GETTEXT;6;1
#else;8;2
#ifndef NO_GETTEXT;19;1
#else;22;1
#ifdef GETTEXT_POISON;31;1
#else;33;1
#ifndef FLEX_ARRAY;4;3
#ifdef __GNUC__;24;1
#else;26;1
#if defined(__sun__);33;2
#elif !defined(__APPLE__) && !defined(__FreeBSD__) && !defined(__USLC__) &&       !defined(_M_UNIX) && !defined(__sgi) && !defined(__DragonFly__) &&       !defined(__TANDEM) && !defined(__QNX__) && !defined(__MirBSD__);39;1
#if defined(WIN32) && !defined(__CYGWIN__);48;2
#ifdef HAVE_STRINGS_H;65;1
#ifdef NEEDS_SYS_PARAM_H;70;1
#ifndef NO_SYS_POLL_H;82;1
#else;84;1
#if defined(__MINGW32__);87;1
#elif defined(_MSC_VER);89;1
#else;91;2
#ifdef PRECOMPOSE_UNICODE;125;1
#else;127;1
#ifdef MKDIR_WO_TRAILING_SLASH;132;1
#ifdef NO_STRUCT_ITIMERVAL;136;1
#ifdef NO_SETITIMER;142;1
#ifndef NO_LIBGEN_H;145;1
#else;147;1
#ifndef NO_ICONV;151;1
#ifndef NO_OPENSSL;154;1
#ifndef NI_MAXHOST;158;1
#ifndef NI_MAXSERV;161;1
#ifndef PATH_MAX;164;1
#ifndef PRIuMAX;167;1
#ifndef PRIu32;170;1
#ifndef PRIx32;173;1
#ifndef PRIo32;176;1
#ifndef PATH_SEP;179;1
#ifdef HAVE_PATHS_H;182;1
#ifndef _PATH_DEFPATH;185;1
#ifndef STRIP_EXTENSION;188;1
#ifndef has_dos_drive_prefix;191;1
#ifndef offset_1st_component;194;1
#ifndef is_dir_sep;197;1
#ifndef find_last_dir_sep;200;1
#if defined(__HP_cc) && (__HP_cc >= 61000);203;1
#elif defined(__GNUC__) && !defined(NO_NORETURN);206;1
#elif defined(_MSC_VER);209;1
#else;212;3
#if defined(__GNUC__) && (__GNUC__ >= 4);221;1
#else;223;1
#ifndef NO_OPENSSL;236;2
#if defined(__GNUC__);245;1
#if defined(NO_MMAP) || defined(USE_WIN32_MMAP);286;2
#else;296;1
#ifdef NO_MMAP;299;1
#else;301;1
#ifndef MAP_FAILED;304;1
#ifdef NO_ST_BLOCKS_IN_STRUCT_STAT;307;1
#else;309;1
#ifdef NO_PREAD;313;1
#ifdef NO_SETENV;318;1
#ifdef NO_MKDTEMP;322;1
#ifdef NO_MKSTEMPS;326;1
#ifdef NO_UNSETENV;330;1
#ifdef NO_STRCASESTR;334;1
#ifdef NO_STRLCPY;338;1
#ifdef NO_STRTOUMAX;342;1
#ifdef NO_HSTRERROR;348;1
#ifdef NO_MEMMEM;352;1
#ifdef NO_GETPAGESIZE;357;1
#ifdef FREAD_READS_DIRECTORIES;360;2
#ifdef SNPRINTF_RETURNS_BOGUS;367;2
#ifdef __GLIBC_PREREQ;381;2
#ifndef HAVE_STRCHRNUL;387;1
#ifndef HAVE_MEMPCPY;396;1
#ifdef NO_INET_PTON;403;1
#ifdef NO_INET_NTOP;406;1
#ifdef HAVE_ALLOCA_H;412;1
#else;416;1
#ifdef INTERNAL_QSORT;520;1
#ifndef DIR_HAS_BSD_GROUP_SEMANTICS;525;1
#else;527;1
#ifdef NO_NSEC;530;1
#else;534;2
#ifdef UNRELIABLE_FSTAT;543;1
#else;545;1
#ifndef va_copy;548;2
#if defined(__GNUC__) || (_MSC_VER >= 1400);555;1
#ifdef GMTIME_UNRELIABLE_ERRORS;566;1
#ifdef USE_LIBPCRE;253;1
#else;291;1
#ifdef REG_STARTEND;720;1
#ifndef NO_PTHREADS;984;1
#else;998;1
#ifdef USE_LIBPCRE;4;1
#else;6;1
#ifndef NO_PTHREADS;164;1
#else;178;1
#if defined(GIT_WINDOWS_NATIVE);87;1
#ifdef EXPAT_NEEDS_XMLPARSE_H;13;1
#else;15;1
#ifndef XML_STATUS_OK;20;1
#ifndef NO_CURL_IOCTL;163;1
#ifdef USE_CURL_MULTI;202;1
#ifdef USE_CURL_MULTI;497;1
#ifdef USE_CURL_MULTI;538;1
#ifdef USE_CURL_MULTI;566;1
#ifdef USE_CURL_MULTI;1394;1
#ifdef USE_CURL_MULTI;1401;1
#ifdef USE_CURL_MULTI;1405;1
#ifndef USE_CURL_MULTI;1480;1
#ifdef USE_CURL_MULTI;1490;1
#ifdef USE_CURL_MULTI;105;1
#ifdef USE_CURL_MULTI;143;1
#ifdef USE_CURL_MULTI;256;1
#ifdef USE_CURL_MULTI;366;1
#else;369;1
#ifdef USE_CURL_MULTI;457;1
#if LIBCURL_VERSION_NUM >= 0x070a06;13;1
#ifdef USE_CURL_MULTI;18;1
#ifndef NO_CURL_EASY_DUPHANDLE;22;1
#if LIBCURL_VERSION_NUM >= 0x070903;31;1
#if LIBCURL_VERSION_NUM >= 0x070908;34;1
#if LIBCURL_VERSION_NUM >= 0x071700;47;1
#elif LIBCURL_VERSION_NUM >= 0x070903;48;1
#else;50;1
#ifndef NO_CURL_IOCTL;68;1
#ifdef USE_CURL_MULTI;94;1
#if LIBCURL_VERSION_NUM >= 0x070903;130;1
#if LIBCURL_VERSION_NUM >= 0x070908;134;1
#ifndef USE_CURL_MULTI;150;1
#ifdef USE_CURL_MULTI;156;1
#if LIBCURL_VERSION_NUM >= 0x071301;197;1
#else;200;1
#if LIBCURL_VERSION_NUM >= 0x071900;222;1
#elif LIBCURL_VERSION_NUM >= 0x071000;227;1
#else;245;1
#if LIBCURL_VERSION_NUM >= 0x070907;260;1
#ifdef LIBCURL_CAN_HANDLE_AUTH_ANY;263;1
#if LIBCURL_VERSION_NUM >= 0x070903;272;1
#if LIBCURL_VERSION_NUM >= 0x070908;276;1
#if LIBCURL_VERSION_NUM >= 0x071301;289;1
#elif LIBCURL_VERSION_NUM >= 0x071101;291;1
#ifdef CURLOPT_USE_SSL;300;1
#ifdef USE_CURL_MULTI;338;1
#if LIBCURL_VERSION_NUM >= 0x070903;353;1
#if LIBCURL_VERSION_NUM >= 0x070908;356;1
#ifdef USE_CURL_MULTI;370;1
#ifndef NO_CURL_EASY_DUPHANDLE;383;1
#ifdef USE_CURL_MULTI;393;1
#ifndef NO_CURL_EASY_DUPHANDLE;402;1
#ifdef USE_CURL_MULTI;405;1
#ifdef USE_CURL_MULTI;428;1
#ifdef NO_CURL_EASY_DUPHANDLE;454;1
#else;456;1
#ifdef USE_CURL_MULTI;485;1
#ifdef USE_CURL_MULTI;498;1
#ifdef USE_CURL_MULTI;552;2
#else;593;1
#ifdef USE_CURL_MULTI;609;1
#ifdef USE_CURL_MULTI;616;1
#if LIBCURL_VERSION_NUM >= 0x070a08;629;1
#else;632;1
#if LIBCURL_VERSION_NUM >= 0x070c00;712;1
#if LIBCURL_VERSION_NUM >= 0x071000;10;1
#if LIBCURL_VERSION_NUM < 0x070704;14;1
#if LIBCURL_VERSION_NUM < 0x070800;17;1
#if (LIBCURL_VERSION_NUM < 0x070c04) || (LIBCURL_VERSION_NUM == 0x071000);20;1
#if LIBCURL_VERSION_NUM < 0x070a03;23;1
#if LIBCURL_VERSION_NUM < 0x070c03;26;1
#if !defined(CURLOPT_USE_SSL) && defined(CURLOPT_FTP_SSL);29;1
#ifndef NO_CURL_IOCTL;56;1
#ifdef USE_CURL_MULTI;67;1
#ifdef NO_GECOS_IN_PWENT;10;1
#else;12;1
#ifndef WINDOWS;290;1
#else;292;1
#ifdef NO_OPENSSL;5;1
#ifndef NO_OPENSSL;118;1
#ifndef NO_OPENSSL;126;1
#ifdef NO_OPENSSL;148;1
#else;154;2
#ifndef NO_OPENSSL;258;1
#ifndef NO_OPENSSL;275;1
#ifndef NO_OPENSSL;291;1
#ifndef NO_OPENSSL;711;1
#else;750;1
#ifndef NO_IPV6;793;1
#else;826;1
#ifndef NO_OPENSSL;881;1
#if 0;263;1
#if DEBUG_MAILMAP;5;1
#else;8;1
