branch;line;nd
#ifdef SINGLE_LISTEN_UNSERIALIZED_ACCEPT;451;1
#if APR_HAS_OTHER_CHILD;454;1
#ifdef AP_HAVE_RELIABLE_PIPED_LOGS;457;1
#ifdef BUFFERED_LOGS;460;2
#if APR_CHARSET_EBCDIC;466;1
#ifdef NEED_HASHBANG_EMUL;469;1
#ifdef HTTPD_ROOT;472;1
#ifdef SUEXEC_BIN;475;1
#ifdef DEFAULT_PIDLOG;478;1
#ifdef DEFAULT_SCOREBOARD;481;1
#ifdef DEFAULT_ERRORLOG;484;1
#ifdef AP_TYPES_CONFIG_FILE;487;1
#ifdef SERVER_CONFIG_FILE;490;1
#if APR_HAVE_UNISTD_H;12;1
#ifndef DEFAULT_TIME_FORMAT;22;1
#ifdef HAVE_TIMES;33;1
#ifdef HAVE_TIMES;116;1
#ifdef HAVE_TIMES;124;1
#ifdef HAVE_TIMES;128;2
#ifdef HAVE_TIMES;189;1
#ifdef HAVE_TIMES;231;1
#ifdef HAVE_TIMES;263;1
#ifdef HAVE_TIMES;313;1
#ifdef HAVE_TIMES;333;1
#ifdef HAVE_TIMES;478;1
#ifdef HAVE_TIMES;568;1
#ifdef HAVE_TIMES;572;1
#ifdef HAVE_TIMES;652;1
#ifdef HAVE_TIMES;656;1
#ifdef HAVE_TIMES;682;1
#ifdef HAVE_TIMES;737;1
#ifdef HAVE_TIMES;748;1
#if !defined(WIN32);8;1
#elif defined(STATUS_DECLARE_STATIC);12;1
#elif defined(STATUS_DECLARE_EXPORT);16;1
#else;20;1
#if APR_HAVE_STDARG_H;25;1
#if APR_HAVE_UNISTD_H;28;1
#ifndef AP_DEFAULT_MAX_RANGES;31;1
#ifndef AP_DEFAULT_MAX_OVERLAPS;34;1
#ifndef AP_DEFAULT_MAX_REVERSALS;37;1
#if APR_HAVE_STDARG_H;26;1
#if APR_HAVE_UNISTD_H;29;1
#if APR_CHARSET_EBCDIC;476;1
#else;483;1
#if APR_CHARSET_EBCDIC;588;1
#else;595;1
#if APR_CHARSET_EBCDIC;668;1
#else;676;1
#if APR_CHARSET_EBCDIC;794;1
#else;803;1
#ifdef AP_DEBUG;1047;1
#if APR_HAVE_STDARG_H;26;1
#if APR_HAVE_UNISTD_H;29;1
#if APR_HAVE_STDARG_H;18;1
#if APR_HAS_THREADS;155;1
#if APR_HAS_THREADS;173;1
#if APR_HAS_THREADS;178;1
#if APR_HAS_THREADS;307;1
#if APR_HAVE_UNISTD_H;11;1
#if !APR_HAS_LDAP;14;1
#ifndef APR_LDAP_SIZELIMIT;17;1
#ifdef LDAP_OPT_DEBUG_LEVEL;20;1
#else;22;2
#if !defined(LDAP_OPT_NETWORK_TIMEOUT) && defined(LDAP_OPT_CONNECT_TIMEOUT);33;1
#if APR_HAS_THREADS;82;1
#if 0;106;2
#ifdef LDAP_OPT_NETWORK_TIMEOUT;148;1
#if !APR_HAS_SOLARIS_LDAPSDK;155;1
#else;157;1
#if APR_HAS_SOLARIS_LDAPSDK;209;1
#ifdef APR_LDAP_OPT_VERIFY_CERT;264;1
#else;267;2
#ifdef LDAP_OPT_NETWORK_TIMEOUT;286;1
#ifdef LDAP_OPT_TIMEOUT;299;1
#ifdef LDAP_OPT_ERROR_NUMBER;314;1
#ifdef LDAP_OPT_RESULT_CODE;317;1
#if APR_HAS_THREADS;458;1
#if APR_HAS_THREADS;465;1
#if APR_HAS_THREADS;490;1
#if APR_HAS_THREADS;498;1
#if APR_HAS_THREADS;522;1
#if APR_HAS_THREADS;534;1
#if APR_HAS_THREADS;542;1
#if APR_HAS_THREADS;561;1
#if APR_HAS_THREADS;574;1
#ifdef LDAP_OPT_NETWORK_TIMEOUT;1733;1
#ifdef LDAP_OPT_NETWORK_TIMEOUT;1742;1
#else;1747;1
#ifdef AP_LDAP_OPT_DEBUG;1778;1
#ifndef AP_LDAP_OPT_DEBUG;1787;1
#else;1789;1
#ifndef LDAP_OPT_TIMEOUT;1848;1
#if APR_HAS_THREADS;1916;1
#if APR_HAS_THREADS;1945;1
#if APR_HAS_SHARED_MEMORY;2003;1
#if APR_HAS_SHARED_MEMORY;2012;1
#if APR_HAS_SHARED_MEMORY;2031;1
#if APR_HAS_SHARED_MEMORY;2043;1
#ifdef AP_LDAP_OPT_DEBUG;2089;1
#if APR_HAS_LDAP;5;2
#if APR_HAS_LDAP;3;2
#if APR_HAS_LDAP;6;2
#if APR_HAVE_UNISTD_H;17;1
#ifdef HAVE_LIMITS_H;20;1
#ifdef PIPE_BUF;50;1
#else;52;1
#if APR_HAS_THREADS;510;1
#else;512;1
#if APR_MAJOR_VERSION > 1 || (APR_MAJOR_VERSION == 1 && APR_MINOR_VERSION >= 2);516;1
#else;518;1
#if APR_HAS_THREADS;1030;1
#ifndef _MOD_LOG_CONFIG_H;4;1
#if APR_HAVE_UNISTD_H;8;1
#ifndef _APL_CONFIG_H_;2;1
#if APR_HAVE_STDIO_H;4;1
#if APR_HAVE_TIME_H;9;1
#if APR_HAVE_CRYPT_H;12;1
#if APR_HAVE_STDLIB_H;15;1
#if APR_HAVE_STRING_H;18;1
#if APR_HAVE_UNISTD_H;21;1
#if APR_HAVE_IO_H;24;1
#if CRYPT_ALGO_SUPPORTED;67;1
