Class,Methods,Over-exposed methods
anonymous(PluginBaseClassSearcher) in freemind::modes::mindmapmode::hooks::MindMapHookFactory.decorateHook() (Class),1,0
anonymous(ItemListener) in freemind::modes::mindmapmode::MindMapToolBar.MindMapToolBar() (Class),1,0
Resources in freemind::main (Class),21,0
BrowseHookFactory in freemind::modes::browsemode (Class),9,1
ReminderHook in accessories::plugins::time (Class),4,0
ExtendedAttributeTableModelDecorator in freemind::view::mindmapview::attributeview (Class),13,0
anonymous(ActionListener) in freemind::view::mindmapview::EditNodeWYSIWYG::HTMLDialog.HTMLDialog() (Class),1,0
anonymous(TextTranslator) in tests::freemind::DontShowAgainDialogTests.testDialog() (Class),1,0
anonymous(ItemListener) in freemind::controller::MainToolBar.MainToolBar() (Class),1,0
ResultFieldStream in plugins::script::ScriptEditorPanel (Class),3,0
DontShowPropertyHandler in freemind::common::OptionalDontShowMeAgainDialog (Class),2,0
anonymous(JButton) in accessories::plugins::time::JDayChooser.JDayChooser() (Class),2,0
CloudColorAction in freemind::modes::mindmapmode::actions (Class),7,1
FlatNodeTableMouseAdapter in accessories::plugins::time::TimeList (Class),2,0
anonymous(MouseAdapter) in freemind::modes::mindmapmode::attributeactors::ListDialog.ListDialog() (Class),1,0
MenuEventSupplier in freemind::controller::StructuredMenuHolder (Class),2,0
MindMapCloud in freemind::modes (Class),4,1
FilterComposerDialog in freemind::controller::filter (Class),10,1
anonymous(JLabel) in freemind::main::FreeMindSplash.FreeMindSplash() (Class),5,0
FreeMindCommon in freemind::main (Class),13,3
MindMapLinkRegistry in freemind::modes (Class),18,1
NumberProperty in freemind::common (Class),7,1
TimerColorChanger in accessories::plugins::BlinkingNodeHook (Class),2,0
anonymous(KeyAdapter) in freemind::common::StringProperty.StringProperty() (Class),1,0
NodeStyleAction in freemind::modes::mindmapmode::actions (Class),8,0
StatefulMindMapNodeHookAdapter in freemind::extensions (Class),5,0
anonymous(AbstractAction) in accessories::plugins::dialogs::ChooseFormatPopupDialog.initialize() (Class),1,0
AttributeRegistryComboBoxColumnModel in freemind::modes::attributes (Class),12,0
ZoomInAction in freemind::controller::Controller (Class),2,0
MindMapControllerMock in tests::freemind (Class),73,0
DummyLockManager in freemind::modes::mindmapmode::MindMapMapModel (Class),6,0
LastOpenedActionListener in freemind::controller::MenuBar (Class),2,0
anonymous(ActionListener) in freemind::common::FontProperty.FontProperty() (Class),1,0
DecoratorButton in accessories::plugins::time::JDayChooser (Class),5,1
anonymous(OptionalDontShowMeAgainDialog.DontShowPropertyHandler) in tests::freemind::DontShowAgainDialogTests.testDialog() (Class),2,0
RemoveReminders in accessories::plugins::time::TimeManagement (Class),2,0
FreemindPropertyListener in freemind::preferences (Class),1,0
anonymous(ActionListener) in freemind::preferences::layout::OptionPanel.buildPanel() (Class),1,0
BrowseArrowLinkModel in freemind::modes::browsemode (Class),5,0
anonymous(ListSelectionListener) in plugins::script::ScriptEditorPanel.ScriptEditorPanel() (Class),1,0
ImportLinkedBranchWithoutRootAction in freemind::modes::mindmapmode::MindMapController (Class),2,0
FileOpener in freemind::modes::ControllerAdapter (Class),9,1
NodeKeyListener in freemind::controller (Class),6,0
NodeHookAdapter in freemind::extensions (Class),7,0
SchemeToolBar in freemind::modes::schememode (Class),1,0
TimeManagementOrganizer in accessories::plugins::time (Class),5,0
anonymous(FreemindPropertyListener) in freemind::view::mindmapview::MapView.createPropertyChangeListener() (Class),1,0
MindMapNodeHookAdapter in freemind::modes::mindmapmode::hooks (Class),2,0
MapAdapter in freemind::modes (Class),39,9
BrowseEdgeModel in freemind::modes::browsemode (Class),4,0
ImportExplorerFavoritesAction in freemind::modes::mindmapmode::actions (Class),4,0
ActionHolder in freemind::main::Tools (Class),5,0
SelectedViewCondition in freemind::controller::filter::condition (Class),6,1
MindMapController in freemind::modes::mindmapmode (Class),128,7
JTripleCalendar in accessories::plugins::time (Class),10,3
TestReplaceInputInfo in tests::freemind::findreplace::FindTextTests (Class),4,0
NamedObject in freemind::common (Class),6,0
FeedBackImpl in freemind::main::FreeMindSplashModern (Class),7,1
ArrayListTransferable in accessories::plugins::dialogs::ArrayListTransferHandler (Class),4,0
AreaHolder in accessories::plugins::util::html::ClickableImageCreator (Class),2,1
StylePatternFrame in freemind::modes::mindmapmode::dialogs (Class),22,0
NotesHolder in accessories::plugins::time::TimeList (Class),5,0
SortedComboBoxModel in freemind::controller::filter::util (Class),2,0
EnterPasswordDialog in freemind::modes::common::dialogs (Class),15,0
EdgeWidthAction in freemind::modes::mindmapmode::actions (Class),8,0
TripleDesEncrypter in freemind::main::Tools (Class),1,0
BrowseToolBar in freemind::modes::browsemode (Class),3,0
anonymous(MouseAdapter) in freemind::common::ColorProperty.layout() (Class),2,0
SchemeController in freemind::modes::schememode (Class),8,0
