Class,Methods,Over-exposed methods
anonymous(WindowAdapter) in edu::umd::cs::findbugs::gui2::PreferencesFrame.PreferencesFrame() (Class),1,0
AnyTypeMatcher in edu::umd::cs::findbugs::util (Class),2,0
FilterBugReporter in edu::umd::cs::findbugs (Class),3,0
NewResults in edu::umd::cs::findbugs (Class),5,0
anonymous(CloudTaskListener) in edu::umd::cs::findbugs::cloud::AbstractCloud.createTask() (Class),3,0
Analyze in edu::umd::cs::findbugs (Class),9,0
PropertiesDialog in edu::umd::cs::findbugs::gui2 (Class),2,0
BugPropertyIterator in edu::umd::cs::findbugs::BugInstance (Class),5,0
ObligationFactory in edu::umd::cs::findbugs::ba::obl (Class),14,1
BackwardTypeQualifierDataflowAnalysis in edu::umd::cs::findbugs::ba::jsr305 (Class),15,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::RunAnalysisDialog.initComponents() (Class),1,0
anonymous(TypeQualifierAnnotation) in edu::umd::cs::findbugs::ba::jsr305::TypeQualifierAnnotation.<Initializer>() (Class),1,0
BugRanker in edu::umd::cs::findbugs (Class),11,0
anonymous(BasicSplitPaneUI) in edu::umd::cs::findbugs::gui2::SplitLayout.removeSplitPaneBorders() (Class),1,0
anonymous(CloudFilter) in edu::umd::cs::findbugs::gui2::ViewFilter::CloudFilter (Class),2,0
GenericUtilities in edu::umd::cs::findbugs::ba::generic (Class),20,0
FindJSR166LockMonitorenter in edu::umd::cs::findbugs::detect (Class),6,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
FirstPassDetector in edu::umd::cs::findbugs (Class),0,0
XMLOutput in edu::umd::cs::findbugs::xml (Class),12,0
AnalysisFeatureSetting in edu::umd::cs::findbugs::config (Class),2,0
anonymous(Runnable) in edu::umd::cs::findbugs::sourceViewer::NavigableTextPane.scrollYToVisibleImpl() (Class),1,0
InstructionIterator in edu::umd::cs::findbugs::ba::BasicBlock (Class),11,0
RecursiveSearchForJavaFiles in edu::umd::cs::findbugs::workflow (Class),2,0
anonymous(CloudFilter) in edu::umd::cs::findbugs::gui2::ViewFilter::CloudFilter (Class),2,0
Load in edu::umd::cs::findbugs::ba::bcp (Class),2,0
LockFrameModelingVisitor in edu::umd::cs::findbugs::detect::FindUnreleasedLock (Class),4,0
HugeSharedStringConstants in edu::umd::cs::findbugs::detect (Class),6,0
LocationAndFactPair in edu::umd::cs::findbugs::ba::type::TypeDataflow (Class),1,0
UserPreferencesTest in edu::umd::cs::findbugs::config (Class),2,0
SynchronizeAndNullCheckField in edu::umd::cs::findbugs::detect (Class),3,0
LastVersionMatcher in edu::umd::cs::findbugs::filter (Class),7,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui::OSXAdapter.handleAbout() (Class),1,0
anonymous(SelfCalls) in edu::umd::cs::findbugs::detect::FindInconsistentSync2.visitClassContext() (Class),1,0
anonymous(PointerUsageRequiringNonNullValue) in edu::umd::cs::findbugs::ba::npe::PointerUsageRequiringNonNullValue.getPassedAsNonNullParameter() (Class),2,0
IncompatibleTypes in edu::umd::cs::findbugs::ba (Class),15,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::OSXAdapter.handleAbout() (Class),1,0
NoteNonNullAnnotations in edu::umd::cs::findbugs::detect (Class),3,0
WorkList in edu::umd::cs::findbugs::Project (Class),6,3
JCIPAnnotationDatabase in edu::umd::cs::findbugs::ba (Class),11,0
FindFinalizeInvocations in edu::umd::cs::findbugs::detect (Class),5,0
