Class,Methods,Over-exposed methods
ThreadOutputMuxerTest in org::apache::maven::lifecycle::internal (Class),4,0
DefaultSchedulesTest in org::apache::maven::lifecycle (Class),3,0
VersionRange in org::apache::maven::artifact::versioning (Class),17,0
MavenArtifactRepositoryTest in org::apache::maven::artifact::repository (Class),1,0
DefaultArtifactDeployer in org::apache::maven::artifact::deployer (Class),3,0
PluginTest in org::apache::maven::model (Class),4,0
MojoDescriptor in org::apache::maven::plugin::descriptor (Class),72,5
DefaultExceptionHandler in org::apache::maven::exception (Class),9,0
LifecycleExecutionPlanCalculator in org::apache::maven::lifecycle::internal (Class),4,0
DefaultRuntimeInformationTest in org::apache::maven::rtinfo::internal (Class),2,0
PluginIncompatibleException in org::apache::maven::plugin (Class),2,0
LifecycleExecutionPlanCalculatorTest in org::apache::maven::lifecycle::internal (Class),4,1
CacheRecord in org::apache::maven::project::artifact::DefaultMavenMetadataCache (Class),7,6
PlexusUtilsInjector in org::apache::maven::plugin::internal (Class),4,0
BuildPluginManagerStub in org::apache::maven::lifecycle::internal::stub (Class),5,0
DefaultMavenExecutionRequest in org::apache::maven::execution (Class),111,10
DuplicateArtifactAttachmentException in org::apache::maven::project (Class),5,0
ProjectSorter in org::apache::maven::project (Class),13,0
DefaultVersionRangeResolver in org::apache::maven::repository::internal (Class),10,0
MavenProject in org::apache::maven::project (Class),207,17
BuildFailureException in org::apache::maven (Class),2,0
ProfileActivationContext in org::apache::maven::model::profile (Class),5,5
ThreadConfigurationService in org::apache::maven::lifecycle::internal (Class),5,0
DefaultModelBuildingEvent in org::apache::maven::model::building (Class),5,0
DefaultModelProblemCollector in org::apache::maven::model::building (Class),19,5
ThreadConfigurationServiceTest in org::apache::maven::lifecycle::internal (Class),1,0
WagonExcluder in org::apache::maven::plugin::internal (Class),8,1
PropertyProfileActivator in org::apache::maven::model::profile::activation (Class),2,0
Key in org::apache::maven::plugin::PluginRealmCache (Class),0,0
SettingsDecrypter in org::apache::maven::settings::crypto (Class),1,0
RangeValue in org::apache::maven::model::profile::activation::JdkVersionProfileActivator (Class),2,0
SettingsBuildingResult in org::apache::maven::settings::building (Class),3,0
Item in org::apache::maven::artifact::versioning::ComparableVersion (Class),4,2
DefaultModelProblem in org::apache::maven::model::building (Class),11,2
ProfileModelMerger in org::apache::maven::model::profile::DefaultProfileInjector (Class),9,0
DefaultSettingsWriter in org::apache::maven::settings::io (Class),4,0
PluginDescriptorBuilder in org::apache::maven::plugin::descriptor (Class),6,0
ObjectWithListField in org::apache::maven::model::interpolation::StringSearchModelInterpolatorTest (Class),1,0
MetadataGraph in org::apache::maven::repository (Class),6,0
AppTest in org::test (Class),3,0
ActiveProjectArtifact in org::apache::maven::project::artifact (Class),50,5
ConsoleMavenTransferListener in org::apache::maven::cli (Class),8,0
AbstractMavenLifecycleParticipant in org::apache::maven (Class),2,0
VersionsMetadata in org::apache::maven::repository::internal (Class),14,3
ArtifactFilter in org::apache::maven::artifact::resolver::filter (Class),1,0
anonymous(AbstractValueSource) in org::apache::maven::model::interpolation::AbstractStringBasedModelInterpolator.createValueSources() (Class),1,0
JavaToolChain in org::apache::maven::toolchain::java (Class),0,0
PomConstructionWithSettingsTest in org::apache::maven::settings (Class),8,0
LifeCyclePluginAnalyzer in org::apache::maven::lifecycle (Class),2,0
LifecycleBindingsInjector in org::apache::maven::model::plugin (Class),2,0
ArtifactHandlerMock in org::apache::maven::artifact::handler (Class),15,0
MavenProjectTest in org::apache::maven::project (Class),8,0
ProjectArtifactMetadata in org::apache::maven::project::artifact (Class),13,0
DefaultProfileManagerTest in org::apache::maven::profiles::manager (Class),6,0
DefaultArtifactRepository in org::apache::maven::artifact::repository (Class),27,0
DefaultLifecycles in org::apache::maven::lifecycle (Class),7,3
Maven in org::apache::maven (Class),2,0
PluginConfigurationException in org::apache::maven::plugin (Class),5,0
ArtifactRepository in org::apache::maven::artifact::repository (Class),28,0
DefaultProjectBuildingHelper in org::apache::maven::project (Class),5,0
MavenPluginValidator in org::apache::maven::plugin (Class),5,2
DefaultToolchainManagerPrivate in org::apache::maven::toolchain (Class),2,0
DependencyLogEntry in org::apache::maven::lifecycle::internal::BuildLogItem (Class),8,1
ResolutionErrorHandler in org::apache::maven::artifact::resolver (Class),1,0
ArtifactInstallationException in org::apache::maven::artifact::installer (Class),3,0
DefaultMetadataResolutionRequest in org::apache::maven::repository::legacy::metadata (Class),15,0
ManagementModelMerger in org::apache::maven::model::management::DefaultPluginManagementInjector (Class),5,0
ReportingConverter in org::apache::maven::model::plugin (Class),2,0
ResolveTask in org::apache::maven::artifact::resolver::DefaultArtifactResolver (Class),3,0
TestMetadataSource in org::apache::maven::repository::metadata (Class),4,0
