Class,Methods,Over-exposed methods
Sort in examples (Class),3,0
anonymous(DOMConfigurator) in org::apache::log4j::xml::DOMTestCase.testOverrideSubst() (Class),1,0
EventDetails in org::apache::log4j::chainsaw (Class),10,0
AppenderDynamicMBean in org::apache::log4j::jmx (Class),11,0
IntegerPatternConverter in org::apache::log4j::pattern (Class),4,0
StreamUtils in org::apache::log4j::lf5::util (Class),5,0
ReloadingPropertyConfigurator in org::apache::log4j::varia (Class),3,0
DailyRollingFileAppender in org::apache::log4j (Class),10,2
HTMLLayoutTest in org::apache::log4j (Class),12,0
DefaultCategoryFactory in org::apache::log4j (Class),2,0
AbstractDynamicMBean in org::apache::log4j::jmx (Class),10,1
DateLayout in org::apache::log4j::helpers (Class),11,3
MDCOrderFilter in org::apache::log4j::util (Class),3,0
LoggerTestCase in org::apache::log4j (Class),22,0
LogPublishingThread in org::apache::log4j::gui::TextPanelAppender (Class),3,0
LogTextPanel in org::apache::log4j::gui (Class),14,2
FormattingInfoTest in org::apache::log4j::pattern (Class),6,0
CustomLoggerFactory in org::apache::log4j::xml::DOMTestCase (Class),3,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createOpenURLMI() (Class),1,0
DefaultThrowableRendererTest in org::apache::log4j (Class),2,0
XMLLineAttributeFilter in org::apache::log4j::util (Class),3,0
Roller in org::apache::log4j::varia (Class),6,1
LogTableColumn in org::apache::log4j::lf5::viewer (Class),9,3
StartLogFactor5 in org::apache::log4j::lf5 (Class),1,0
TempFileAppender in org::apache::log4j (Class),9,1
anonymous(MouseAdapter) in org::apache::log4j::lf5::viewer::categoryexplorer::CategoryNodeEditor.CategoryNodeEditor() (Class),1,0
NOPAbbreviator in org::apache::log4j::pattern::NameAbbreviator (Class),2,1
LiteralPatternConverter in org::apache::log4j::pattern (Class),3,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogFactor5ErrorDialog.LogFactor5ErrorDialog() (Class),1,0
AsyncAppenderTestCase in org::apache::log4j (Class),10,0
NumberCruncher in examples (Class),1,0
LayoutDynamicMBean in org::apache::log4j::jmx (Class),9,0
DenyAllFilter in org::apache::log4j::varia (Class),4,1
DOMConfigurator in org::apache::log4j::xml (Class),35,1
AddThread in org::apache::log4j::gui::AddAction (Class),3,0
MyLoggerFactory in examples::subclass (Class),2,1
RootCategory in org::apache::log4j::spi (Class),4,0
InitUsingMultipleAppenders in examples::lf5::InitUsingMultipleAppenders (Class),2,0
OptionHandler in org::apache::log4j::spi (Class),1,0
NameSubstring in org::apache::log4j::spi::LocationInfoTest (Class),1,0
LoggingEventTest in org::apache::log4j::spi (Class),13,0
LogLevel in org::apache::log4j::lf5 (Class),18,5
CountingHierarchyEventListener in org::apache::log4j::LoggerTestCase (Class),5,3
VectorAppender in org::apache::log4j (Class),7,3
FullLocationPatternConverter in org::apache::log4j::pattern (Class),4,0
HierarchyEventListener in org::apache::log4j::spi (Class),2,0
Configurator in org::apache::log4j::spi (Class),2,0
JunitTestRunnerFilter in org::apache::log4j::util (Class),3,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createCloseMI() (Class),1,0
MethodLocationPatternConverter in org::apache::log4j::pattern (Class),4,0
DefaultZoneDateFormat in org::apache::log4j::pattern::DatePatternConverter (Class),4,0
LoggingEventPatternConverter in org::apache::log4j::pattern (Class),4,1
LogXF in org::apache::log4j (Class),22,0
PropertySetter in org::apache::log4j::config (Class),9,1
EnhancedLineNumberFilter in org::apache::log4j::util (Class),2,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createEditFindMI() (Class),1,0
UnrecognizedElementHandler in org::apache::log4j::xml (Class),1,0
LogFactor5LoadingDialog in org::apache::log4j::lf5::viewer (Class),1,0
LocationInfo in org::apache::log4j::spi (Class),8,0
TrackingAdjustmentListener in org::apache::log4j::lf5::viewer (Class),3,1
LocationPatternConverter in org::apache::log4j::helpers::PatternParser (Class),2,0
JTableAddAction in org::apache::log4j::gui (Class),3,0
MockThrowableRenderer in org::apache::log4j::PropertyConfiguratorTest (Class),7,2
EnhancedPatternLayoutTestCase in org::apache::log4j (Class),27,1
LevelMatchFilterTestCase in org::apache::log4j::varia (Class),8,0
Main in org::apache::log4j::chainsaw (Class),5,0
LoadXMLAction in org::apache::log4j::chainsaw (Class),4,0
MDC in org::apache::log4j (Class),12,2
InnerTrivial in examples::Trivial (Class),2,0
DOMTestCase in org::apache::log4j::xml (Class),15,1
ParseAction in org::apache::log4j::xml::DOMConfigurator (Class),1,0
AddAction in org::apache::log4j::gui (Class),3,0
Filter in org::apache::log4j::spi (Class),5,0
Log4JTest in <Default Package> (Class),4,0
