Class,Methods,Over-exposed methods
VersionsJoinTableRangeComponentNamingTest in org::hibernate::envers::test::integration::naming (Class),12,0
AnnotatedTrackingRevisionEntity in org::hibernate::envers::test::entities::reventity::trackmodifiedentities (Class),9,0
Parent in org::hibernate::test::collection::set (Class),7,2
OptimisticCacheSource in org::hibernate::cache::spi (Class),2,0
NameTargetAnnotationFilter in org::hibernate::metamodel::source::annotations::xml::filter (Class),4,0
MetadataTest in org::hibernate::ejb::test::metadata (Class),14,0
Fee in org::hibernate::test::legacy (Class),17,7
D in org::hibernate::test::annotations::naturalid (Class),6,1
Child in org::hibernate::test::annotations::cid (Class),1,1
FetchProfile in org::hibernate::metamodel::binding (Class),4,0
JdbcNClob in org::hibernate::jdbc::LobCreatorTest (Class),1,0
City in org::hibernate::test::annotations::manytomany (Class),5,2
PluralAttributeBinding in org::hibernate::metamodel::binding (Class),20,1
Person in org::hibernate::test::annotations::fetch (Class),25,4
Setter in org::hibernate::property (Class),3,0
MaxFunction in org::hibernate::dialect::function::StandardAnsiSqlAggregationFunctions (Class),2,1
LikeExpression in org::hibernate::criterion (Class),6,0
Array in org::hibernate::mapping (Class),7,0
ActionQueue in org::hibernate::engine::spi (Class),48,1
anonymous(BasicBinder) in org::hibernate::type::descriptor::sql::BlobTypeDescriptor.<Initializer>()::anonymous(BlobTypeDescriptor).getBlobBinder() (Class),1,0
OrderID in org::hibernate::test::annotations::onetomany (Class),5,1
MyOverridingDialectResolver1 in org::hibernate::dialect::TestingDialects (Class),1,1
TextAsMaterializedClobType in org::hibernate::test::onetoone::formula::OneToOneFormulaTest (Class),3,1
Collections in org::hibernate::engine::internal (Class),7,0
MaterializedBlobEntity in org::hibernate::test::annotations::lob (Class),8,2
ReadOnlyTest in org::hibernate::test::readonly (Class),13,0
SomeNoopType in org::hibernate::type::BasicTypeRegistryTest (Class),4,2
anonymous(ResultChecker) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testEntityWithNonLazyManyToOneList() (Class),1,0
TypeLocatorImpl in org::hibernate::internal (Class),10,0
PropertyValue in org::hibernate::test::any (Class),1,0
anonymous(TypedQuery) in org::hibernate::ejb::criteria::CriteriaQueryCompiler.wrap() (Class),35,0
anonymous(ResultChecker) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testEntityWithSelectFetchedLazyOneToManySingleElementListCriteria() (Class),1,0
MySpecialDB2Dialect in org::hibernate::dialect::TestingDialects (Class),0,0
Building in org::hibernate::test::annotations::manytomany (Class),5,3
ToOneAttributeSource in org::hibernate::metamodel::source::binder (Class),2,2
Monkey in org::hibernate::test::annotations::id::entities (Class),3,0
EhcacheCollectionRegion in org::hibernate::cache::ehcache::internal::regions (Class),4,0
EntitiesConfigurator in org::hibernate::envers::configuration (Class),3,1
ParameterSpecification in org::hibernate::param (Class),4,0
ScalarReturn in org::hibernate::SQLQueryResultMappingBuilder (Class),1,0
CompositeElementTest in org::hibernate::test::compositeelement (Class),4,0
QuotedIdentifierTest in org::hibernate::metamodel::source::annotations::entity (Class),3,0
NaturalIdOnManyToOne in org::hibernate::test::cache::infinispan::functional (Class),4,0
EntityInstrumentationMetadataImpl in org::hibernate::bytecode::internal::javassist::BytecodeProviderImpl (Class),5,2
UserPK in org::hibernate::test::annotations::manytoone (Class),4,0
ConcurrentStatisticsImpl in org::hibernate::stat::internal (Class),87,1
NotOwnedBidirectional in org::hibernate::envers::test::integration::inheritance::joined::notownedrelation (Class),5,0
FileUtil in org::hibernate::build::gradle::util (Class),3,0
ZipEntryHandler in org::hibernate::bytecode::buildtime::spi::AbstractInstrumenter (Class),1,0
Options in org::hibernate::ejb::HibernateEntityManagerImplementor (Class),3,3
anonymous(ForeignKeyDirection) in org::hibernate::type::ForeignKeyDirection.<Initializer>() (Class),3,0
IndexSetter in org::hibernate::property::IndexPropertyAccessor (Class),4,1
Lighter1 in org::hibernate::ejb::test::pack::defaultpar_1_0 (Class),1,0
Identity in org::hibernate::transform::DistinctResultTransformer (Class),3,0
EhcacheEntityRegion in org::hibernate::cache::ehcache::internal::regions (Class),4,0
EntityAction in org::hibernate::action::internal (Class),18,4
BigIntegerSequenceGeneratorTest in org::hibernate::test::idgen::biginteger::sequence (Class),2,0
FieldHandled in org::hibernate::bytecode::internal::javassist (Class),2,0
Dog in org::hibernate::ejb::test::emops (Class),3,1
CustomScanner in org::hibernate::ejb::test::packaging (Class),9,3
ReplicateEvent in org::hibernate::event::spi (Class),8,0
NoopCollectionPersister in org::hibernate::test::cfg::persister::GoofyPersisterClassProvider (Class),54,0
Emitter in org::hibernate::cache::ehcache::management::impl::BaseEmitterBean (Class),2,0
Component in org::hibernate::test::legacy (Class),5,3
SequenceIdTrackingModifiedEntitiesRevisionEntity in org::hibernate::envers::enhanced (Class),6,0
Client in org::hibernate::test::annotations::onetoone (Class),9,5
HasChangedIdMapKey in org::hibernate::envers::test::integration::modifiedflags (Class),3,0
IJTest in org::hibernate::test::legacy (Class),2,0
AbstractEntity in org::hibernate::test::annotations::cascade::multicircle::jpa::identity (Class),7,1
NoopAccessor in org::hibernate::property (Class),3,1
BagOwner in org::hibernate::test::collection::bag (Class),9,1
CustomBoxed in org::hibernate::envers::test::integration::reventity (Class),10,0
