Class,Methods,Over-exposed methods
DoublePropertyTest in test::net::sourceforge::pmd::properties (Class),4,0
anonymous(VisitorStarter) in net::sourceforge::pmd::sourcetypehandlers::JavaTypeHandler.getTypeResolutionFacade() (Class),1,0
LocalScope in net::sourceforge::pmd::symboltable (Class),7,0
ASTJspExpression in net::sourceforge::pmd::jsp::ast (Class),3,0
CloneRulesTest in test::net::sourceforge::pmd::rules::clone (Class),2,0
UsageGraphBuilder in net::sourceforge::pmd::dcd::graph (Class),10,0
Java17Handler in net::sourceforge::pmd::sourcetypehandlers (Class),2,1
ASTBooleanLiteral in net::sourceforge::pmd::ast (Class),6,1
ASTName in net::sourceforge::pmd::ast (Class),5,0
JJCalls in net::sourceforge::pmd::ast::JavaParser (Class),1,0
LookaheadSuccess in net::sourceforge::pmd::jsp::ast::JspParser (Class),1,0
anonymous(RendererBuilder) in net::sourceforge::pmd::ant::Formatter.<Initializer>() (Class),1,0
ExternalRuleID in net::sourceforge::pmd (Class),4,0
FieldDeclTest in test::net::sourceforge::pmd::ast (Class),10,0
UnusedNullCheckInEqualsTest in test::net::sourceforge::pmd::rules::basic (Class),5,0
SaveListener in net::sourceforge::pmd::cpd::GUI (Class),3,0
FormatterTest in test::net::sourceforge::pmd::ant (Class),3,0
anonymous(AbstractRenderer) in net::sourceforge::pmd::ant::PMDTask.doTask() (Class),5,0
AssignmentInOperand in net::sourceforge::pmd::rules (Class),1,0
JavaTypeHandler in net::sourceforge::pmd::sourcetypehandlers (Class),3,0
ASTFormalParameter in net::sourceforge::pmd::ast (Class),13,1
AbstractPoorMethodCall in net::sourceforge::pmd::rules (Class),6,2
UnnecessaryCaseChange in net::sourceforge::pmd::rules::strings (Class),3,0
Parser in net::sourceforge::pmd::parsers (Class),3,0
StructureTest in test::net::sourceforge::pmd::dfa (Class),2,0
SourceFileOrDirectoryFilter in net::sourceforge::pmd::cpd (Class),3,0
ClassLoaderUtil in net::sourceforge::pmd::dcd (Class),12,0
PMDTask in net::sourceforge::pmd::ant (Class),32,0
ASTAnnotation in net::sourceforge::pmd::ast (Class),5,0
Structure in net::sourceforge::pmd::dfa (Class),10,3
ClassUtil in net::sourceforge::pmd::util (Class),5,0
ReadableDuration in net::sourceforge::pmd::Report (Class),2,0
ASTConditionalOrExpression in net::sourceforge::pmd::ast (Class),3,0
JUnitAssertionsShouldIncludeMessage in net::sourceforge::pmd::rules::junit (Class),4,0
anonymous(RendererBuilder) in net::sourceforge::pmd::ant::Formatter.<Initializer>() (Class),1,0
ClassNameDeclaration in net::sourceforge::pmd::symboltable (Class),2,0
anonymous(Renderer) in net::sourceforge::pmd::cpd::GUI.<Initializer>() (Class),1,0
ASTForUpdate in net::sourceforge::pmd::ast (Class),3,0
Node in net::sourceforge::pmd::ast (Class),7,0
TargetJDK1_7 in net::sourceforge::pmd (Class),4,1
TextRendererTest in test::net::sourceforge::pmd::renderers (Class),6,0
TypeSetTest in test::net::sourceforge::pmd::symboltable (Class),20,0
CPPParserConstants in net::sourceforge::pmd::cpd::cppast (Class),1,0
TargetJDK1_6 in net::sourceforge::pmd (Class),4,1
anonymous(RendererBuilder) in net::sourceforge::pmd::ant::Formatter.<Initializer>() (Class),1,0
CPPTokenizerTest in test::net::sourceforge::pmd::cpd (Class),7,0
ASTStatementExpressionList in net::sourceforge::pmd::ast (Class),3,0
FileExtensionFilter in net::sourceforge::pmd::util::filter (Class),3,0
UnusedCodeRulesTest in test::net::sourceforge::pmd::rules::unusedcode (Class),2,0
anonymous(Renderer) in net::sourceforge::pmd::cpd::GUI.<Initializer>() (Class),1,0
UselessOverridingMethod in net::sourceforge::pmd::rules (Class),11,0
anonymous(Comparator) in net::sourceforge::pmd::cpd::Match.<Initializer>() (Class),1,0
RuleChain in net::sourceforge::pmd (Class),6,1
anonymous(JavaParserVisitorAdapter) in net::sourceforge::pmd::ast::JavaRuleChainVisitor.indexNodes() (Class),1,0
GlobalScopeTest in test::net::sourceforge::pmd::symboltable (Class),4,0
ASTImplementsList in net::sourceforge::pmd::ast (Class),3,0
UnnecessaryReturn in net::sourceforge::pmd::rules::basic (Class),2,0
CSVRenderer in net::sourceforge::pmd::renderers (Class),7,0
VariableUsageFinderFunctionTest in test::net::sourceforge::pmd::symboltable (Class),2,0
UncommentedEmptyMethodRuleTest in test::net::sourceforge::pmd::rules::design (Class),2,0
ClassTypeResolver in net::sourceforge::pmd::typeresolution (Class),53,0
ASTVariableDeclaratorId in net::sourceforge::pmd::ast (Class),13,2
VBHTMLRenderer in net::sourceforge::pmd::renderers (Class),6,0
StrictExceptionRulesTest in test::net::sourceforge::pmd::rules::strictexception (Class),2,0
anonymous(ActionListener) in net::sourceforge::pmd::cpd::GUI.makeSettingsPanel() (Class),1,0
LoggingJavaRulesTest in test::net::sourceforge::pmd::rules::loggingjava (Class),2,0
TargetJDK1_4 in net::sourceforge::pmd (Class),5,0
SimpleNode in net::sourceforge::pmd::ast (Class),39,0
PMDSignatureVisitor in net::sourceforge::pmd::typeresolution::visitors::PMDASMVisitor (Class),17,0
VariableNameDeclaration in net::sourceforge::pmd::symboltable (Class),13,0
ASTType in net::sourceforge::pmd::ast (Class),6,2
Metric in net::sourceforge::pmd::stat (Class),9,0
VariableAccess in net::sourceforge::pmd::dfa::variableaccess (Class),9,0
ASTPanel in net::sourceforge::pmd::util::viewer::gui (Class),4,0
ASTHtmlScript in net::sourceforge::pmd::jsp::ast (Class),3,0
ParseException in net::sourceforge::pmd::cpd::cppast (Class),6,0
anonymous(FilenameFilter) in net::sourceforge::pmd::dcd::DCD.main() (Class),1,0
VariableAccessVisitor in net::sourceforge::pmd::dfa::variableaccess (Class),8,0
FieldNode in net::sourceforge::pmd::dcd::graph (Class),4,0
EcmascriptLanguage in net::sourceforge::pmd::cpd (Class),1,0
SymbolTableTestRule in net::sourceforge::pmd::rules (Class),1,0
ExcessiveLengthRule in net::sourceforge::pmd::rules::design (Class),2,0
PapariTextRendererTest in test::net::sourceforge::pmd::renderers (Class),7,0
ASTFinallyStatement in net::sourceforge::pmd::ast (Class),3,0
ASTBreakStatement in net::sourceforge::pmd::ast (Class),3,0
SourceFileSelector in net::sourceforge::pmd (Class),8,0
CodesizeRulesTest in test::net::sourceforge::pmd::rules::codesize (Class),2,0
FooRule2 in test::net::sourceforge::pmd::renderers::AbstractRendererTst (Class),2,0
AbstractLanguage in net::sourceforge::pmd::cpd (Class),3,1
Rule in net::sourceforge::pmd (Class),42,6
NodeIterator in net::sourceforge::pmd::jaxen (Class),11,0
ASTNormalAnnotation in net::sourceforge::pmd::ast (Class),3,0
JspParserConstants in net::sourceforge::pmd::jsp::ast (Class),1,0
UsageNodeVisitor in net::sourceforge::pmd::dcd (Class),10,1
NoInlineScriptTest in test::net::sourceforge::pmd::jsp::rules (Class),2,0
ASTReturnStatement in net::sourceforge::pmd::ast (Class),3,0
ASTArgumentList in net::sourceforge::pmd::ast (Class),3,0
XSLTRenderer in net::sourceforge::pmd::renderers (Class),8,0
ASTFieldDeclaration in net::sourceforge::pmd::ast (Class),19,2
ASTText in net::sourceforge::pmd::jsp::ast (Class),3,0
PmdThread in net::sourceforge::pmd::PMD (Class),4,0
SummaryHTMLRendererTest in test::net::sourceforge::pmd::renderers (Class),6,0
AvoidCallingFinalize in net::sourceforge::pmd::rules (Class),4,0
ReportException in net::sourceforge::pmd::cpd (Class),1,0
UseIndexOfChar in net::sourceforge::pmd::rules::strings (Class),5,0
ASTSwitchStatement in net::sourceforge::pmd::ast (Class),3,0
PreserveStackTrace in net::sourceforge::pmd::rules::design (Class),6,0
ASTJspScriptlet in net::sourceforge::pmd::jsp::ast (Class),3,0
MyOtherRule in test::net::sourceforge::pmd::AbstractRuleTest (Class),3,1
ASTUnaryExpressionNotPlusMinus in net::sourceforge::pmd::ast (Class),3,0
Resolver in net::sourceforge::pmd::symboltable::TypeSet (Class),1,0
VariableNameDeclarationTest in test::net::sourceforge::pmd::symboltable (Class),10,0
ASTAssignmentOperatorTest in test::net::sourceforge::pmd::ast (Class),5,0
SourceTypeDiscoverer in net::sourceforge::pmd (Class),7,1
StartOrEndDataFlowNode in net::sourceforge::pmd::dfa (Class),2,0
ASTClassOrInterfaceType in net::sourceforge::pmd::ast (Class),3,0
MemberNodeComparator in net::sourceforge::pmd::dcd::graph (Class),3,0
ASTExclusiveOrExpression in net::sourceforge::pmd::ast (Class),3,0
SingleLineComment in net::sourceforge::pmd::ast (Class),1,0
DaaRuleViolation in net::sourceforge::pmd::dfa (Class),5,1
NodeVisitorAdapter in net::sourceforge::pmd::dcd::graph (Class),13,0
JUnitUseExpected in net::sourceforge::pmd::rules::migration (Class),3,0
ASTNodePopupMenu in net::sourceforge::pmd::util::viewer::gui::menu (Class),2,0
VariableAccessTest in test::net::sourceforge::pmd::dfa (Class),2,0
ASTPrimaryPrefix in net::sourceforge::pmd::ast (Class),9,0
JavaCharStream in net::sourceforge::pmd::ast (Class),40,4
ElementWrapper in net::sourceforge::pmd::util::designer::DFAPanel (Class),3,1
AbstractJspRule in net::sourceforge::pmd::jsp::rules (Class),30,0
CollectionUtil in net::sourceforge::pmd::util (Class),11,0
ZipDataSource in net::sourceforge::pmd (Class),3,0
CloseResource in net::sourceforge::pmd::rules (Class),5,0
RendererBuilder in net::sourceforge::pmd::ant::Formatter (Class),1,0
XMLRendererTest in test::net::sourceforge::pmd::renderers (Class),8,0
ArrayListFound in test::net::sourceforge::pmd::typeresolution::testdata (Class),0,0
DCD in net::sourceforge::pmd::dcd (Class),3,0
ASTBlockStatement in net::sourceforge::pmd::ast (Class),4,0
VisitorStarter in net::sourceforge::pmd::sourcetypehandlers (Class),2,0
MethodScope in net::sourceforge::pmd::symboltable (Class),9,0
DaaRule in net::sourceforge::pmd::dfa (Class),9,0
Search in net::sourceforge::pmd::symboltable (Class),6,2
AbstractRenderer in net::sourceforge::pmd::renderers (Class),9,1
MockRule in net::sourceforge::pmd (Class),3,0
TokenMgrError in net::sourceforge::pmd::ast (Class),7,0
ReportTree in net::sourceforge::pmd::dfa::report (Class),8,0
Match in net::sourceforge::pmd::cpd (Class),20,1
RuleReferenceTest in test::net::sourceforge::pmd (Class),4,0
CPDNullListener in net::sourceforge::pmd::cpd (Class),3,1
SourcePath in net::sourceforge::pmd::renderers::IDEAJRenderer (Class),3,0
ConfusingTernary in net::sourceforge::pmd::rules::design (Class),7,0
AccessNodeInterface in net::sourceforge::pmd::ast (Class),37,0
SourceFileScope in net::sourceforge::pmd::symboltable (Class),15,1
UnusedLocalVariableRule in net::sourceforge::pmd::rules (Class),2,0
ASTWhileStatement in net::sourceforge::pmd::ast (Class),3,0
AbstractNcssCount in net::sourceforge::pmd::rules::codesize (Class),19,0
ASTJspComment in net::sourceforge::pmd::jsp::ast (Class),3,0
ASTAndExpression in net::sourceforge::pmd::ast (Class),3,0
DynamicRuleTest in test::net::sourceforge::pmd::rules (Class),5,0
MatchCollector in net::sourceforge::pmd::cpd (Class),9,1
ProcessingError in net::sourceforge::pmd::Report (Class),3,2
BeanMembersShouldSerializeRule in net::sourceforge::pmd::rules (Class),7,0
ASTUnparsedText in net::sourceforge::pmd::jsp::ast (Class),3,0
GridBagHelper in net::sourceforge::pmd::cpd (Class),6,1
anonymous(ThreadLocal) in net::sourceforge::pmd::symboltable::ClassScope.<Initializer>() (Class),1,0
ASTTypeArgument in net::sourceforge::pmd::ast (Class),3,0
AbstractJavaRule in net::sourceforge::pmd (Class),119,0
ASTTryStatement in net::sourceforge::pmd::ast (Class),5,0
ASTLocalVariableDeclarationTest in test::net::sourceforge::pmd::ast (Class),5,0
ASTForStatement in net::sourceforge::pmd::ast (Class),3,0
SimpleCharStream in net::sourceforge::pmd::cpd::cppast (Class),37,8
Filters in net::sourceforge::pmd::util::filter (Class),10,1
ClassNode in net::sourceforge::pmd::dfa::report (Class),3,1
ASTValueBinding in net::sourceforge::pmd::jsp::ast (Class),3,0
AbstractNameDeclaration in net::sourceforge::pmd::symboltable (Class),4,0
ReadableDurationTest in test::net::sourceforge::pmd (Class),4,0
