Class,Methods,Over-exposed methods
NonSerializableListCharList in org::apache::commons::collections::primitives::adapters (Class),3,0
ShortListList in org::apache::commons::collections::primitives::adapters (Class),4,0
ByteIteratorIterator in org::apache::commons::collections::primitives::adapters (Class),6,0
NonSerializableCollectionFloatCollection in org::apache::commons::collections::primitives::adapters (Class),3,0
IteratorIntIterator in org::apache::commons::collections::primitives::adapters (Class),6,0
NonSerializableCollectionDoubleCollection in org::apache::commons::collections::primitives::adapters (Class),3,0
TestListIteratorByteListIterator in org::apache::commons::collections::primitives::adapters (Class),8,3
TestUnmodifiableDoubleIterator in org::apache::commons::collections::primitives::decorators (Class),7,0
ByteListIterator in org::apache::commons::collections::primitives (Class),9,7
InvocationCounter in org::apache::commons::collections::primitives::decorators::TestBaseProxyCharCollection (Class),33,16
AbstractCollectionShortCollection in org::apache::commons::collections::primitives::adapters (Class),16,3
BaseUnmodifiableLongListTest in org::apache::commons::collections::primitives::decorators (Class),10,1
AbstractShortCollectionCollection in org::apache::commons::collections::primitives::adapters (Class),15,3
AbstractDoubleCollection in org::apache::commons::collections::primitives (Class),14,5
anonymous(BaseProxyDoubleList) in org::apache::commons::collections::primitives::decorators::TestBaseProxyDoubleList.testListCallsAreProxied() (Class),1,0
BaseProxyLongList in org::apache::commons::collections::primitives::decorators (Class),13,1
InvocationCounter in org::apache::commons::collections::primitives::decorators::TestBaseProxyByteCollection (Class),33,16
NonSerializableFloatCollectionCollection in org::apache::commons::collections::primitives::adapters (Class),3,0
anonymous(AbstractList) in org::apache::commons::collections::primitives::adapters::TestCollectionCharCollection.testWrapNonSerializable() (Class),2,0
anonymous(RandomAccessLongList) in org::apache::commons::collections::primitives::adapters::TestLongListList.testWrapNonSerializable() (Class),2,0
RandomAccessShortList in org::apache::commons::collections::primitives (Class),20,2
LongListIterator in org::apache::commons::collections::primitives (Class),9,7
BaseTestList in org::apache::commons::collections::primitives::adapters (Class),2,0
UnmodifiableByteList in org::apache::commons::collections::primitives::decorators (Class),4,0
TestShortList in org::apache::commons::collections::primitives (Class),29,4
ComodChecker in org::apache::commons::collections::primitives::RandomAccessFloatList (Class),5,0
ArrayUnsignedShortList in org::apache::commons::collections::primitives (Class),18,2
anonymous(AbstractList) in org::apache::commons::collections::primitives::adapters::TestCollectionFloatCollection.testWrapNonSerializable() (Class),2,0
IntCollection in org::apache::commons::collections::primitives (Class),13,5
TestByteListList in org::apache::commons::collections::primitives::adapters (Class),13,0
TestByteIterator in org::apache::commons::collections::primitives (Class),10,3
DoubleListIterator in org::apache::commons::collections::primitives (Class),9,7
ComodChecker in org::apache::commons::collections::primitives::RandomAccessDoubleList (Class),5,0
CharListList in org::apache::commons::collections::primitives::adapters (Class),4,0
RandomAccessLongListIterator in org::apache::commons::collections::primitives::RandomAccessLongList (Class),11,2
DoubleList in org::apache::commons::collections::primitives (Class),14,3
RandomAccessFloatListIterator in org::apache::commons::collections::primitives::RandomAccessFloatList (Class),11,2
TestListIteratorShortListIterator in org::apache::commons::collections::primitives::adapters (Class),8,3
AllTestSuite in org::apache::commons::collections::primitives (Class),3,0
ArrayFloatList in org::apache::commons::collections::primitives (Class),15,2
IteratorDoubleIterator in org::apache::commons::collections::primitives::adapters (Class),6,0
IteratorShortIterator in org::apache::commons::collections::primitives::adapters (Class),6,0
NonSerializableUnmodifiableIntList in org::apache::commons::collections::primitives::decorators (Class),3,0
NonSerializableByteListList in org::apache::commons::collections::primitives::adapters (Class),3,0
AbstractRandomAccessShortListImpl in org::apache::commons::collections::primitives::TestRandomAccessShortList (Class),3,1
anonymous(BaseProxyFloatList) in org::apache::commons::collections::primitives::decorators::TestBaseProxyFloatList.testListCallsAreProxied() (Class),1,0
ProxyDoubleListIterator in org::apache::commons::collections::primitives::decorators (Class),7,1
InvocationCounter in org::apache::commons::collections::primitives::decorators::TestBaseProxyDoubleCollection (Class),33,16
ArrayUnsignedIntList in org::apache::commons::collections::primitives (Class),18,2
TestLongList in org::apache::commons::collections::primitives (Class),29,4
UnmodifiableFloatListIterator in org::apache::commons::collections::primitives::decorators (Class),7,0
IntListList in org::apache::commons::collections::primitives::adapters (Class),4,0
BaseUnmodifiableLongList in org::apache::commons::collections::primitives::decorators (Class),14,0
LongListList in org::apache::commons::collections::primitives::adapters (Class),4,0
IntListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),12,0
DoubleCollectionImpl in org::apache::commons::collections::primitives::TestAbstractDoubleCollection (Class),3,1
InvocationCounter in org::apache::commons::collections::primitives::decorators::TestBaseProxyCharList (Class),21,8
ComodChecker in org::apache::commons::collections::primitives::RandomAccessCharList (Class),5,0
TestBaseProxyDoubleList in org::apache::commons::collections::primitives::decorators (Class),4,0
TestBaseProxyByteList in org::apache::commons::collections::primitives::decorators (Class),4,0
AbstractCollectionIntCollection in org::apache::commons::collections::primitives::adapters (Class),16,3
CharIteratorIterator in org::apache::commons::collections::primitives::adapters (Class),6,0
TestCharListList in org::apache::commons::collections::primitives::adapters (Class),13,0
TestByteList in org::apache::commons::collections::primitives (Class),29,4
TestArrayUnsignedShortList in org::apache::commons::collections::primitives (Class),15,0
TestBaseProxyCharCollection in org::apache::commons::collections::primitives::decorators (Class),4,0
LongCollection in org::apache::commons::collections::primitives (Class),13,5
DoubleCollections in org::apache::commons::collections::primitives (Class),10,3
BaseUnmodifiableByteList in org::apache::commons::collections::primitives::decorators (Class),14,0
FloatList in org::apache::commons::collections::primitives (Class),14,3
UnmodifiableByteIterator in org::apache::commons::collections::primitives::decorators (Class),5,0
TestRandomAccessCharList in org::apache::commons::collections::primitives (Class),7,0
ArrayByteList in org::apache::commons::collections::primitives (Class),15,2
RandomAccessShortListIterator in org::apache::commons::collections::primitives::RandomAccessShortList (Class),11,2
TestUnmodifiableIntIterator in org::apache::commons::collections::primitives::decorators (Class),7,0
UnmodifiableLongIterator in org::apache::commons::collections::primitives::decorators (Class),5,0
anonymous(AbstractList) in org::apache::commons::collections::primitives::adapters::TestCollectionByteCollection.testWrapNonSerializable() (Class),2,0
TestIntIteratorIterator in org::apache::commons::collections::primitives::adapters (Class),8,3
RandomAccessIntSubList in org::apache::commons::collections::primitives::RandomAccessIntList (Class),10,0
CollectionByteCollection in org::apache::commons::collections::primitives::adapters (Class),4,0
UnmodifiableShortListIterator in org::apache::commons::collections::primitives::decorators (Class),7,0
RandomAccessLongList in org::apache::commons::collections::primitives (Class),20,2
