Class,Methods,Over-exposed methods
DialFrame in org::jfree::chart::plot::dial (Class),1,0
FlowArrangementTests in org::jfree::chart::block::junit (Class),5,0
BoxAndWhiskerToolTipGeneratorTests in org::jfree::chart::labels::junit (Class),7,0
CrosshairLabelGenerator in org::jfree::chart::labels (Class),1,0
BlockResult in org::jfree::chart::block (Class),3,0
IntervalCategoryItemLabelGenerator in org::jfree::chart::labels (Class),5,0
AreaRendererEndType in org::jfree::chart::renderer (Class),5,0
DefaultKeyedValueDatasetTests in org::jfree::data::general::junit (Class),6,0
LegendItemCollectionTests in org::jfree::chart::junit (Class),5,0
XYZToolTipGenerator in org::jfree::chart::labels (Class),1,0
XYImageAnnotationTests in org::jfree::chart::annotations::junit (Class),6,0
CustomCategoryURLGeneratorTests in org::jfree::chart::urls::junit (Class),7,0
WindNeedle in org::jfree::chart::needle (Class),5,0
StandardXYSeriesLabelGeneratorTests in org::jfree::chart::labels::junit (Class),8,0
TickLabelEntityTests in org::jfree::chart::entity::junit (Class),5,0
CrosshairState in org::jfree::chart::plot (Class),25,8
SecondTests in org::jfree::data::time::junit (Class),20,0
XYLineAndShapeRendererTests in org::jfree::chart::renderer::xy::junit (Class),11,0
AbstractBlockTests in org::jfree::chart::block::junit (Class),5,0
CategoryDatasetHandler in org::jfree::data::xml (Class),5,2
LineRenderer3DTests in org::jfree::chart::renderer::category::junit (Class),8,0
EntityPackageTests in org::jfree::chart::entity::junit (Class),4,0
CyclicXYItemRenderer in org::jfree::chart::renderer::xy (Class),6,0
anonymous(SelectionAdapter) in org::jfree::experimental::chart::swt::editor::SWTTitleEditor.SWTTitleEditor() (Class),1,0
RendererUtilities in org::jfree::chart::renderer (Class),3,0
XYBarRenderer in org::jfree::chart::renderer::xy (Class),47,13
MinMaxCategoryRenderer in org::jfree::chart::renderer::category (Class),20,1
TimePeriodValuesTests in org::jfree::data::time::junit (Class),16,0
BlockContainer in org::jfree::chart::block (Class),17,0
PowerFunction2DTests in org::jfree::data::function::junit (Class),7,0
ColorPaletteTests in org::jfree::chart::plot::junit (Class),4,0
OHLCItemTests in org::jfree::data::time::ohlc::junit (Class),8,0
TimeSeriesChartDemo1 in org::jfree::chart::demo (Class),8,2
DeviationRenderer in org::jfree::chart::renderer::xy (Class),12,1
DefaultIntervalXYDatasetTests in org::jfree::data::xy::junit (Class),20,1
DefaultXYDataset in org::jfree::data::xy (Class),15,0
XYDotRenderer in org::jfree::chart::renderer::xy (Class),14,3
TimeSeriesDataItemTests in org::jfree::data::time::junit (Class),6,0
DialPackageTests in org::jfree::chart::plot::dial::junit (Class),4,0
VectorSeriesCollectionTests in org::jfree::data::xy::junit (Class),7,0
IntervalBarRendererTests in org::jfree::chart::renderer::category::junit (Class),9,0
DefaultAxisEditor in org::jfree::chart::editor (Class),18,9
Value in org::jfree::data (Class),1,0
StandardPieURLGenerator in org::jfree::chart::urls (Class),7,0
