Class,Methods,Over-exposed methods
TagPluginContextImpl in org::apache::jasper::compiler::TagPluginManager (Class),16,0
AstPlus in org::apache::el::parser (Class),2,0
PeriodicEventListener in org::apache::tomcat (Class),1,0
anonymous(BCELComparator) in org::apache::tomcat::util::bcel::classfile::Method.<Initializer>() (Class),2,0
CoordinationDemo in org::apache::catalina::tribes::demos (Class),19,6
ConstantValue in org::apache::tomcat::util::bcel::classfile (Class),6,0
JarScanner in org::apache::tomcat (Class),1,0
Registration in javax::servlet (Class),6,0
WARDirContext in org::apache::naming::resources (Class),34,1
ExampleFilter in filters (Class),5,0
AbstractQueryReport in org::apache::tomcat::jdbc::pool::interceptor (Class),11,0
Compiler in org::apache::jasper::compiler (Class),17,2
LoginLogoutServlet in org::apache::catalina::connector::TestRequest (Class),3,0
UninterpretedTag in org::apache::jasper::compiler::Node (Class),4,0
DigesterFactory in org::apache::catalina::startup (Class),6,0
CustomDefaultServletSCI in org::apache::catalina::startup::TestContextConfig (Class),2,0
TestClientCert in org::apache::tomcat::util::net (Class),6,0
UndeployMessage in org::apache::catalina::ha::deploy (Class),17,1
Token in org::apache::jasper::compiler::ELParser (Class),2,0
MapRealm in org::apache::catalina::startup::TestTomcat (Class),7,0
MemoryRealm in org::apache::catalina::realm (Class),13,1
ErrorVisitor in org::apache::jasper::compiler::ErrorDispatcher (Class),3,1
JmxRemoteLifecycleListener in org::apache::catalina::mbeans (Class),11,0
TestCookiesNoFwdStrictSysProps in org::apache::tomcat::util::http (Class),1,0
Bug51376Servlet in org::apache::catalina::core::TestStandardContext (Class),6,1
MemoryUserDatabaseMBean in org::apache::catalina::mbeans (Class),14,0
SocketProcessor in org::apache::tomcat::util::net::AprEndpoint (Class),3,0
SetPublicIdRule in org::apache::catalina::startup (Class),3,0
EchoParametersServlet in org::apache::catalina::connector::TestRequest (Class),3,0
TagSupport in javax::servlet::jsp::tagext (Class),16,3
TesterBeanC in org::apache::el (Class),5,1
Catch in org::apache::jasper::tagplugins::jstl::core (Class),1,0
CollectVisitor in org::apache::jasper::compiler::Collector (Class),17,0
Entry in org::apache::jasper::util::FastRemovalDequeue (Class),13,0
ConnectorCreateRule in org::apache::catalina::startup (Class),5,1
FooURLStreamHandlerFactory in org::apache::naming::resources::TestDirContextURLStreamHandlerFactory (Class),2,1
RpcCollector in org::apache::catalina::tribes::group::RpcChannel (Class),7,2
HelloWorld in org::apache::catalina::startup::TestTomcat (Class),3,1
