No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
1674,Spirit,(583rd civilian),10 Jun 03,Planetary probe,NA
1675,MER-B,(584th civilian),8 Jul 03,Planetary probe,NA
1676,Opportunity,(585th civilian),8 Jul 03,Planetary probe,NA
1677,Spitzer Space Telescope / SIRTF,(586th civilian),25 Aug 03,Astronomy,NA
1678,DSCS III B-6 (USA 170),(1092nd military),29 Aug 03,Communications,NA
1679,Advanced ORION 3 USA 171),(1093rd military),9 Sep 03,Electronic intelligence,NA
1680,DMSP Block 5D-3 F-16 (USA 172),(1094th military),18 Oct 03,Meteorology,NA
1681,NOSS (USA 173),(1095th military),2 Dec 03,Ocean surveillance,NA
1682,SSU,(1096th military),2 Dec 03,Ocean surveillance,NA
1683,UFO F11 (USA 174),(1097th military),18 Dec 03,Communications,NA
1684,Navstar 53 (USA 175),(1098th military),21 Dec 03,Navigation,NA
1685,DSP 22 (USA 176),(1099th military),14 Feb 04,Missile early warning,NA
1686,Navstar 54 (USA 177),(1100th military),20 Mar 04,Navigation,NA
1687,Gravity Probe B,(587th civilian),20 Apr 04,Science,NA
1688,Navstar 55 (USA 178),(1101st military),23 Jun 04,Navigation,NA
1689,Aura / EOS Chemistry-1,(588th civilian),15 Jul 04,Earth sciences,NA
1690,MESSENGER,(589th civilian),3 Aug 04,Planetary probe,NA
1691,NROL-1 (USA 179),(1102nd military),31 Aug 04,Communications,NA
1692,Navstar 56 (USA 180),(1103rd military),6 Nov 04,Navigation,NA
1693,Swift,(590th civilian),20 Nov 04,Astronomy,NA
1694,Demosat (USA 181),(1104th military),21 Dec 04,Technology,NA
1695,Deep Impact / flyby,(591st civilian),12 Jan 05,Planetary probe,NA
1696,Deep Impact inpactor,(592nd civilian),12 Jan 05,Planetary probe,NA
1697,NROL-23 / USA 181,(1105th military),3 Feb 05,Signal intelligence,NA
1698,NROL-23 Subsatellite,(1106th military),3 Feb 05,Signal intelligence,NA
1699,XSS-11,(1107th military),11 Apr 05,Technology,NA
1700,DART,(593rd civilian),15 Apr 05,Technology,NA
1701,USA 182 / LACROSSE / ONYX 5?,(1108th military),30 Apr 05,Reconnaissance,NA
1702,NOAA 18,(594th civilian),20 May 05,Meteorology,NA
1703,STS-114 / RTF,(595th civilian),26 Jul 05,Piloted spaceship,NA
1704,Mars Reconnaissance Orbiter / MRO,(596th civilian),12 Aug 05,Planetary probe,NA
1705,STP-R1 / Streak / USA 185,(1109th military),23 Sep 05,Technology,NA
1706,Navstar 57 / USA 183,(1110th military),26 Sep 05,Navigation,NA
1707,Improved CRYSTAL / USA 186,(1111th military),19 Oct 05,Reconnaissance,NA
1708,New Horizons,(597th civilian),19 Jan 06,C Planetary Exploration (Pluto),NA
1709,ST5 / ST5-A (ST5-FWD),(598th civilian),22 Mar 06,C Technology,NA
1710,ST5-B (ST5-MID),(599th civilian),22 Mar 06,C Technology,NA
1711,ST5-C (ST5-AFT),(600th civilian),22 Mar 06,C Technology,NA
1712,FalconSat 2,(1112th military),24 Mar 06,M Science & Technology,NA
1713,CloudSat,(601st civilian),28 Apr 06,C Earth/space sciences,NA
1714,GOES N / GOES 13,(602nd civilian),24 May 06,C Meteorology,NA
1715,MITEx (USA 187),(1113th military),21 Jun 06,M Science & Technology,NA
1716,MITEx (USA 188),(1114th military),21 Jun 06,M Science & Technology,NA
1717,MITEx (USA 189),(1115th military),21 Jun 06,M Science & Technology,NA
1718,NROL-22 (USA 184),(1116th military),28 Jun 06,M Electronic Intelligence,NA
1719,STS-121 / ULF-1.1,(603rd civilian),4 Jul 06,C Piloted spaceship,NA
1720,STS-115 / ISS 12A,(604th civilian),9 Sep 06,C Piloted spaceship,NA
1721,ITS-P3/P4,(605th civilian),9 Sep 06,C Space Station Component,NA
1722,Navstar 58,(1117th military),25 Sep 06,M Navigation,NA
1723,STEREO / STEREO Ahead,(606th civilian),26 Oct 06,C Sun Observatory,NA
1724,STEREO Behind,(607th civilian),26 Oct 06,C Sun Observatory,NA
1725,DMSP Block 5D-3 F-17 (USA 191),(1118th military),4 Nov 06,M Meteorology,NA
1726,Navstar 59 (USA 192),(1119th military),17 Nov 06,M Navigation,NA
1727,STS-116 / ISS 12A.1,(608th civilian),10 Dec 06,C Piloted spaceship,NA
1728,ITS-P5,(609th civilian),10 Dec 06,C Space Station Components,NA
1729,MEPSI 2A/2B,(1120th military),10 Dec 06,M Science & Technology,NA
1730,RAFT-1,(1121st military),10 Dec 06,M Science & Technology,NA
1731,NMARS,(1122nd military),10 Dec 06,M Science & Technology,NA
1732,ANDE-MAA,(1123rd military),10 Dec 06,M Science & Technology,NA
1733,ANDE-FCAL,(1124th military),10 Dec 06,M Science & Technology,NA
1734,NROL-21 (USA 193),(1125th military),14 Dec 06,M Unknown,NA
1735,TacSat 2,(1126th military),16 Dec 06,M Science & Technology,NA
1736,Genesat-1,(610th civilian),16 Dec 06,C Biology,NA
1737,THEMIS / THEMIS P1,(611th civilian),17 Feb 07,C Earth/Space Science,NA
1738,THEMIS P2,(612th civilian),17 Feb 07,C Earth/Space Science,NA
1739,THEMIS P3,(613th civilian),17 Feb 07,C Earth/Space Science,NA
1740,THEMIS P4,(614th civilian),17 Feb 07,C Earth/Space Science,NA
1741,THEMIS P5,(615th civilian),17 Feb 07,C Earth/Space Science,NA
1742,STPSat-1 (Orbital Express),(1127th military),9 Mar 07,M Science & Technology,NA
1743,ASTRO / OE-ASTRO,(1128th military),9 Mar 07,M Science & Technology,NA
1744,NextSat / OE-NextSat,(1129th military),9 Mar 07,M Science & Technology,NA
1745,MidSTAR-1,(1130th military),9 Mar 07,M Science & Technology,NA
1746,CFESat,(1131st military),9 Mar 07,M Science & Technology,NA
1747,FalconSat-3,(1132nd military),9 Mar 07,M Science & Technology,NA
1748,MEPSI Picosat 4A,(1133rd military),9 Mar 07,M Science & Technology,NA
1749,MEPSI Picosat 4B,(1134th military),9 Mar 07,M Science & Technology,NA
1750,DemoFlight 2,(616th civilian),21 Mar 07,C Technology,NA
1751,NFIRE,(1135th military),24 Apr 07,M Asat Technology,NA
1752,AIM,(617th civilian),25 Apr 07,C Earth/Space Science,NA
1753,STS-117 / ISS-13A,(618th civilian),8 Jun 07,C Piloted spaceship,NA
1754,ITS-S3/S4,(619th civilian),8 Jun 07,C Space Station,NA
1755,NROL-30 / NOSS 3-4A (USA 193),(1136th military),15 Jun 07,M Ocean Surveillance,NA
1756,NROL-30 / NOSS 3-4B (USA 194),(1137th military),15 Jun 07,M Ocean Surveillance,NA
1757,Phoenix / Phoenix Mars Mission,(620th civilian),4 Aug 07,C Planetary Probe,NA
1758,STS-118 / ISS 13A.1,(621st civilian),8 Aug 07,C Piloted spaceship,NA
1759,ITS-S5,(622nd civilian),8 Aug 07,C Space Station Component,NA
1760,WorldView 1,(1138th military),18 Sep 07,M Earth Observations,NA
1761,DAWN,(623rd civilian),27 Sep 07,C Planetary Probe,NA
1762,WGS SV-1 / WGS F1,(1139th military),11 Oct 07,M Communications,NA
1763,Navstar 60 (USA 196),(1140th military),17 Oct 07,M Navigation,NA
1764,STS 120 / ISS 10A,(624rth civilian),23 Oct 07,C Piloted spaceship,NA
1765,Node 2 “Harmony”,(625th civilian),23 Oct 07,C Space Station Component,NA
1766,DSP-23,(1141st military),11 Nov 07,M Missile Early Warning,NA
1767,NROL-24 (USA 198),(1142nd military),10 Dec 07,M Communications,NA
1768,Navstar 61,(1143rd military),20 Dec 07,M Navigation,NA
1769,STS-122 / ISS 1E,626th civilian,7 Feb 08,C Piloted spaceship,NA
1770,STS-123 / ISS J/A,627th civilian,11 Mar 08,C Piloted spaceship,NA
1771,NROL-28 (USA 200),1144th military,13 Mar 08,M Electronic Intelligence & Missile Early Warning,NA
1772,Navstar 62 (USA 201),1145th military,15 Mar 08,M Navigation,NA
1773,C/NOFS,1146th military,16 Apr 08,M Science & Technology,NA
1774,STS-124 / ISS 1J,628th civilian,31 May 08,C Piloted spaceship,NA
1775,GLAST,629th civilian,31 May 08,C Astronomy,NA
1776,OSTM / Jason 2,630th civilian,20 Jun 08,C Earth/Space Science (Ocean observations),NA
1777,Trailblazer,1147th military,3 Aug 08 ,M Science & Technology,NA
1778,PreSat,631st civilian,3 Aug 08,C Technology,NA
1779,Nanosail-D,632nd civilian,3 Aug 08,C Technology,NA
1780,GeoEye 1,1148th military,6 Sep 08,M Surveillance,NA
1781,IBEX,633rd civilian,19 Oct 08,C Earth/Space Science,NA
1782,STS-126 / ULF-2,634th civilian,15 Nov 08,C Piloted spaceship,NA
1783,PSSC Testbed,1149th military,15 Nov 08,M Technology,NA
1784,NROL-26 (USA 202),1150th military,18 Jan 09,M Electonic Intelligence,NA
1785,NOAA 19 (NOAA-N prime),635th civilian,6 Feb 09,C Meteorology,NA
1786,OCO / Orbiting Carbon Observatory,636th civilian,24 Feb 09,C Earth/Space Science,NA
1787,Kepler,637th civilian,7 Mar 09,C Astronomy,NA
1788,STS-119 / ISS 15A,638th civilian,15 Mar 09,C Piloted spaceship,NA
1789,ITS-S6,639th civilian,15 Mar 09,C Space Station Component,NA
1790,Navstar 63 (USA 203),1151st military,24 Mar 09,M Navigation,NA
1791,WGS 2 (USA 204),1152nd military,4 Apr 09,M Communications,NA
1792,STSS-ATRR (USA 205),1153rd military,5 May 09,M Science & Technology,NA
1793,STS-125 / SM4,640th civilian,11 May 09,C Piloted spaceship,NA
1794,Tacsat 3,1154th military,19 May 09,M Science & Technology,NA
1795,Pharmasat,641st civilian,19 May 09,C Technology,NA
1796,LRO / Lunar Reconnaissance Orbiter,642nd civilian,18 Jun 09,C Planetary Probe (Moon),NA
1797,LCROSS,643rd civilian,18 Jun 09,C Planetary Probe (Moon),NA
1798,GOES O / GOES 14,644th civilian,27 Jun 09,C Meteorology,NA
1799,STS-127 / ISS 2J/A,645th civilian,15 Jul 09,C Piloted spaceship,NA
1800,ANDE Passive (Pollux),1155th military,30 Jul 09,M Science & Technology,NA
1801,ANDE Active (Castor),1156th military,30 Jul 09,M Science & Technology,NA
1802,Navstar 64 (USA 206),1157th military,17 Aug 09,M Navigation,NA
1803,STS-128 / ISS 17A,646th civilian,29 Aug 09,C Piloted spaceship,NA
1804,PAN / P360 (USA 207),1158th military,8 Sep 09,M Communications,NA
1805,STSS Demo 1 (USA 208),1159th military,25 Sep 09,M Space defense,NA
1806,STSS Demo 2 (USA 209),1160th military,25 Sep 09,M Space defense,NA
1807,WorldView-2,1161st military,8 Oct 09,M Photo Surveillance,NA
1808,DMSP 5D F-18 (USA 210),1162nd military,18 Oct 09,M Meteorology,NA
1809,STS-129 / ULF-3,647th civilian,16 Nov 09,C Piloted spaceship,NA
1810,WGS 3 (USA 211),1163rd military,6 Dec 09,M Communications,NA
1811,WISE,648th civilian,14 Dec 09,C Astronomy,NA
1812,STS-130 / ISS 20A,649th civilian,8 Feb 10,C Piloted spacecraft,NA
1813,Tranquility / Node 3,650th civilian,8 Feb 10,C Space Station Component,NA
1814,SDO / Solar Dynamics Observatory,651st civilian, 11 Feb 10,C Earth/Space Science,NA
1815,GOES P / GOES 15,652nd civilian,4 Mar 10,C Meteorology,NA
1816,STS-131 / ISS 19A,653rd civilian,5 Apr 10,C Piloted spacecraft,NA
1817,OTV-1 (USA 212),1164th military,22 Apr 10,M Science & Technology,NA
1818,STS-132 / ULF-4,654th civilian,14 May 10,C Piloted spacecraft,NA
1819,Navstar 65 (USA 213),1165th military,28 May 10,M Navigation,NA
1820,AEHF SV-1 (USA 214),1166th military,14 Aug 10,M Communications,NA
1821,NROL-41 (USA 215),1167th military,21 Sep 10,M Surveillance,NA
1822,SBSS 1 (USA 216),1168th military,26 Sep 10,M Space defense,NA
1823,STPSat-2 (USA 217),1169th military,20 Nov 10,M Science & Technology,NA
1824,RAX (USA 218,1170th military,20 Nov 10,M Science & Technology,NA
1825,O/OREOS (USA 219),655th civilian,20 Nov 10,C Biology,NA
1826,Fastsat-HSV (USA 220),656th civilian,20 Nov 10,C Technology,NA
1827,Falconsat-5 (USA 221),1171st military,20 Nov 10,M Science & Technology,NA
1828,Nanosail-D2,657th civilian,20 Nov 10,C Technology,NA
1829,NROL-32 (USA 223),1172nd military,21 Nov 10,M Surveillance,NA
1830,QbX-1,658th civilian,8 Dec 10,M Technology,NA
1831,SMDC-One,1173rd military,8 Dec 10,M Science & Technology,NA
1832,QbX-2,1174th military,8 Dec 10,M Science & Technology,NA
1833,Perseus 000,1175th military,8 Dec 10,M Science & Technology,NA
1834,Perseus 001,1176th military,8 Dec 10,M Science & Technology,NA
1835,Perseus 002,1177th military,8 Dec 10,M Science & Technology,NA
1836,Perseus 003,1178th military,8 Dec 10,M Science & Technology,NA
1837,NROL-49 (USA 224),1179th military,20 Jan 11,M Surveillance,NA
1838,NROL-66 / RPP (USA 225),1180th military,6 Feb 11,M Science & Technology,NA
1839,STS-133 / ULF-5,659th civilian,24 Feb 11,Piloted spaceship,NA
1840,Glory,660th civilian,4 Mar 11,Earth/space sciences,NA
1841,OTV-2 F1 (USA 226),1181st military,5 Mar 11,M Science & Technology,NA
1842,NROL-27 (USA 227),1182nd military,11 Mar 11,M Communications,NA
1843,NROL-34 (USA 228),1183rd military,15 Apr 11,M Ocean Surveillance,NA
1844,NROL-34 Sub-satellite (USA 229),1184th military,15 Apr 11,M Ocean Surveillance,NA
1845,SBIRS GEO-1 (USA 230),1185th military,7 May 11,M Missile Early Warning,NA
1846,STS-134 / ULF-6,661st civilian,16 May 11,Piloted spaceship,NA
1847,AMS-02,662nd civilian,16 May 11,Astronomy,NA
1848,ORS 1 (USA 231),1186th military,30 Jun 11,M Surveillance,NA
1849,STS-135 / ULF-7,663rd civilian,8 Jul 11,Piloted spaceship,NA
1850,Navstar 66 (USA 232),1187th military,16 Jul 11,M Navigation,NA
1851,PSSC 2,1188th military,8 Jul 11,M Science & Technology,NA
1852,Juno,664th civilian,5 Aug 11,Planetary Probe (Jupiter),NA
1853,GRAIL / GRAIL-A,665th civilian,10 Sep 11,Planetary Probe (Moon),NA
1854,GRAIL-B,666th civilian,10 Sep 11,Planetary Probe (Moon),NA
1855,Tacsat 4,1189th military,27 Sep 11,M Communications,NA
1856,NPP,667th civilian,25 Oct 11,Meteorology,NA
1857,Curiosity / MSL,668th civilian,26 Nov 11,Planetary Probe (Mars),NA
1858,WGS 4 (USA 233),1190th military,20 Jan 12,M Communications,NA
1859,MUOS 1,1191st military,24 Feb 12,M Communications,NA
1860,NROL-25 (USA 234),1192nd military,3 Apr 12,M Surveillance,NA
1861,AEHF 2 (USA 235),1193rd military,4 May 12,M Communications,NA
1862,Dragon C2+,669th civilian,22 May 12,C Cargo Delivery,NA
1863,NuSTAR,670th civilian,13 Jun 12,C Astronomy,NA
1864,NROL-38 (USA 236),1194th military,20 Jun 12,M Electronic Intelligence,NA
1865,NROL-15 (USA 237,1195th military,29 Jun 12,M Electronic Intelligence,NA
1866,RBSP A,671st civilian,30 Aug 12,C Earth/Space Sciences,NA
1867,RBSP B,672nd civilian,30 Aug 12,C Earth/Space Sciences,NA
1868,NROL-36 (USA 238),1196th military,13 Sep 12,M Electronic Intelligence,NA
1869,USA 238 P/L 2,1197th military,13 Sep 12,M Electronic Intelligence,NA
1870,SMDC-ONE 1.2,1198th military,13 Sep 12,M Communications,NA
1871,Aeneas,1199th military,13 Sep 12,M Science & Technology,NA
1872,Re / STARE,1200th military,13 Sep 12,M Science & Technology,NA
1873,SMDC-ONE 1.1,1201st military,13 Sep 12,M Communications,NA
1874,Navstar 67 (USA 239,1202nd military, 4 Oct 12,M Navigation,NA
1875,Dragon CRS-1,673rd civilian,8 Oct 12,C Cargo Delivery,NA
1876,X-37B OTV-3 (USA 240),1203rd military,11 Dec 12,M Surveillance?,NA
1877,TDRS 11,674th civilian,31 Jan 13,C Communications,NA
1878,Landsat 8 / LDCM,675th civilian,11 Feb 13,C Earth Remote Sensing,NA
1879,Dragon CRS-2,676th civilian,1 Mar 13,C Cargo Delivery,NA
1880,SBIRS GEO-2 (USA 241),1204th military,19 Mar 13,M Missile Early Warning,NA
1881,CMS / Cygnus Mass Sim,677th civilian,21 Apr 13,C Technology,NA
1882,Navstar 68 (USA 242),1205th military,15 May 13,M Navigation,NA
1883,WGS 5 (USA 243),1206th military,25 May 13,M Communications,NA
1884,IRIS,678th civilian,28 Jun 13,C Earth/Space Sciences,NA
1885,MUOS 2,1207th military,19 Jul 13,M Communications,NA
1886,WGS 6 (USA 244),1208th military,8 Aug 13,M Communications,NA
1887,NROL-65 (USA 245),1209th military,28 Aug 13,M Surveillance,NA
1888,LADEE,679th civilian,7 Sep 13,C Planetary Probe (Moon),NA
1889,AEHF 3 (USA 246),1210th military,18 Sep 13,M Communications,NA
1890,Cygnus Demo,680th civilian,18 Sep 13,C Cargo Delivery,NA
1891,CUSat 1,681st civilian,29 Sep 13,C Technology,NA
1892,DANDE,682nd civilian,29 Sep 13,C Earth/Space Sciences,NA
1893,POPACS 1,683rd civilian,29 Sep 13,C Earth/Space Sciences,NA
1894,POPACS 2,684th civilian,29 Sep 13,C Earth/Space Sciences,NA
1895,POPACS 3,685th civilian,29 Sep 13,C Earth/Space Sciences,NA
1896,MAVEN,686th civilian,18 Nov 13,C Planetary Probe (Mars),NA
1897,STPSat-3,1211th military,20 Nov 13,M Science & Technology,NA
1898,ORS-3,1212th military,20 Nov 13,M Science & Technology,NA
1899,Horus / STARE-B,1213th military,20 Nov 13,M Science & Technology,NA
1900,SENSE-A,1214th military,20 Nov 13,M Science & Technology,NA
1901,SENSE-b,1215th military,20 Nov 13,M Science & Technology,NA
1902,ORSES,1216th military,20 Nov 13,M Science & Technology,NA
1903,ORS Tech 1,1217th military,20 Nov 13,M Science & Technology,NA
1904,ORS Tech 2,1218th military,20 Nov 13,M Science & Technology,NA
1905,Prometheus 1A,1219th military,20 Nov 13,M Communications,NA
1906,Prometheus 1b,1220th military,20 Nov 13,M Communications,NA
1907,Prometheus 2A,1221st military,20 Nov 13,M Communications,NA
1908,Prometheus 2b,1222nd military,20 Nov 13,M Communications,NA
1909,Prometheus 3A,1223rd military,20 Nov 13,M Communications,NA
1910,Prometheus 3b,1224th military,20 Nov 13,M Communications,NA
1911,Prometheus 4A,1225th military,20 Nov 13,M Communications,NA
1912,Prometheus 4b,1226th military,20 Nov 13,M Communications,NA
1913,NROL-39 (USA 247),1227th military,6 Dec 13,M Surveillance,NA
1914,ALICE,1228th military,6 Dec 13,M Science & Technology,NA
1915,SNAP-3,1229th military,6 Dec 13,M Science & Technology,NA
1916,SMDC-ONE C / SMDC-ONE C 2.4,1230th military,6 Dec 13,M Science & Technology,NA
1917,Tacsat-6,1231st military,6 Dec 13,M Communications,NA
1918,SMDC-ONE D / SMDC-ONE 2.3,1232nd military,6 Dec 13,M Science & Technology,NA
1919,Cygnus Orb-1,687th civilian,9 Jan 14,C Cargo Delivery,NA
1920,TDRS 12,688th civilian,24 Jan 14,C Communications,NA
1921,Navstar 69 (USA 248),1233rd military,21 Feb 14,M Navigation,NA
1922,GPM-CO,689th civilian,27 Feb 14,C Earth/Space Sciences,NA
1923,DMSP-5D3 F-19,1234th military,3 Apr 14,M Meteorology,NA
1924,NROL-67 (USA 250),1235th military,10 Apr 14,M Surveillance,NA
1925,Dragon CRS-3 / SpaceX-3,690th civilian,18 Apr 14,C Cargo Delivery,NA
1926,SporeSat,691st civilian,18 Apr 14,C Biology,NA
1927,Navstar 70 (USA 251),1236th military,17 May 14,M Navigation,NA
1928,NROL-33 (USA 252),1237th military,22 May 14,M Communications?,NA
1929,OCO-2,692nd civilian,2 Jul 14,C Earth/Space Sciences,NA
1930,Cygnus Orb-2 / CRS-2,693rd civilian,13 Jul 14,C Cargo Delivery,NA
1931,GSSAP 1 (USA 253),1238th military,28 Jul 14,M Space Surveillance,NA
1932,GSSAP 2 (USA 254),1239th military,28 Jul 14,M Space Surveillance,NA
1933,ANGELS (USA 255),1240th military,28 Jul 14,M Space Surveillance,NA
1934,Navstar 72 (USA 256),1241st military,2 Aug 14,M Navigation,NA
1935,CLIO (USA 257),1242nd military,17 Sep 14,M Electronic Intelligence?,NA
1936,Dragon CRS-4,694th civilian,21 Sep 14,C Cargo Delivery,NA
1937,Cygnus CRS-3,695th civilian,28 Oct 14,C Cargo Delivery,NA
1938,Navstar 68 (USA 258),1243rd military,29 Oct 14,M Navigation,NA
1939,SpinSat 1,1244th military,28 Nov 14,M Technology,NA
1940,Orion EFT-1,696th civilian,5 Dec 14,C Technology,NA
1941,NROL-35 (USA 259),1245th military,10 Dec 14,M Electronic Intelligence? (Missile Early Warning?),NA
1942,Dragon CRS-5,697th civilian,10 Jan15,C Cargo Delivery,NA
1943,MUOS 3,1246th military,21 Jan 15,M Communications,NA
1944,SMAP,698th civilian,31 Jan 15,C Earth/Space Sciences,NA
1945,GRIFEX,699th civilian,31 Jan 15,C Technology,NA
1946,ExoCube CP10,700th civilian,31 Jan 15,C Earth/Space Sciences,NA
1947,DSCOVR,701st civilian,11 Feb 15,C Earth/space Sciences,NA
1948,MMS 1 (John),702nd civilian,13 Mar 15,C Earth/space Sciences,NA
1949,MMS 2 (Paul),703rd civilian,13 Mar 15,C Earth/space Sciences,NA
1950,MMS 3 (George),704th civilian,13 Mar 15,C Earth/space Sciences,NA
1951,MMS 4 (Ringo),705th civilian,13 Mar 15,C Earth/space Sciences,NA
1952,Navstar 69,1247th military,25 Mar 15,M Navigation,NA
