No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
820,Titan Samos 29/ KH-8 29 GAMBIT,(581st military),23 Oct 70,Reconnaissance,NA
821,IMEWS 1 / DSP F1,(582nd military),6 Nov 70,Missile early warning,NA
822,OFO,(240th civilian),9 Nov 70,Biology,NA
823,RM 1 / RMS,(241th civilian),9 Nov 70,Micrometeroids studies,NA
824,Discoverer 134 / KH-4B,(583rd military),18 Nov 70,Reconnaissance,NA
825,Hitchhiker 28,(584th military),18 Nov 70,Electronic intelligence,NA
826,OAO-B,(242nd civilian),30 Nov 70,Astronomy,NA
827,NOAA 1,(243rd civilian),11 Dec 70,Meteorology,NA
828,CEP 1 / CEPE,(244th civilian),11 Dec 70,Technology,NA
829,Explorer 42 / SAS 1 / Uhuru,(245th civilian),12 Dec 70,Astronomy,NA
830,Titan Samos 30 / KH-8 30 GAMBIT,(585th military),21 Jan 71,Reconnaissance,NA
831,Apollo 14 Kitty Hawk,(246th civilian),31 Jan 71,Piloted spaceship,NA
832,Apollo 14 Antares,(247th civilian),31 Jan 71,Piloted spaceship,NA
833,P-35-25 / DAPP 5A F-3,(586th military),17 Feb 71,Meteorology,NA
834,Calsphere 3,(587th military),17 Feb 71,Radar calibration,NA
835,Calsphere 4,(588th military),17 Feb 71,Radar calibration,NA
836,Calsphere 5,(589th military),17 Feb 71,Radar calibration,NA
837,Discoverer 135 / KH-4B,(590th military),17 Feb 71,Reconnaissance,NA
838,Explorer 43 / IMP 6,(248th civilian),13 Mar 71,Space environment studies,NA
839,SDS 1 / Jumpseat 1,(591st military),21 Mar 71,Electronic intelligence,NA
840,Discoverer 136 / KH-4B,(592nd military),24 Mar 74,Reconnaissance,NA
841,Titan Samos 31 / KH-8 31 GAMBIT,(593rd military),22 Apr 71,Reconnaissance,NA
842,IMEWS 2 / DSP 3,(594th military),5 May 71,Missile early warning,NA
843,Mariner 8,(249th civilian),9 May 71,Planetary probe,NA
844,Mariner 9,(250th civilian),30 May 71,Planetary probe,NA
845,SESP 1,(595th military),8 Jun 71,Technology,NA
846,Big Bird 1 / KH-9 1 HEXAGON,(596th military),15 Jun 71,Reconnaissance,NA
847,Explorer 44 / Solrad 10,(251st civilian),8 Jul 71,Space environment studies,NA
848,Ferret 16,(597th military),16 Jul 71,Electronic intelligence,NA
849,Apollo 15 Endeavour,(252nd civilian),26 Jul 71,Piloted spaceship,NA
850,Apollo 15 Falcon,(253rd civilian),26 Jul 71,Piloted spaceship,NA
851,Lunar Rover (LRV-1),(254th civilian),26 Jul 71,Lunar vehicle,NA
852,Apollo 15 Subsatellite,(255th civilian),26 Jul 71,Piloted spaceship,NA
853,OV 1-20,(598th military),7 Aug 71,Science & technology,NA
854,OV 1-21,(599th military),7 Aug 71,Science & technology,NA
855,Cannonball 2 / LOADS 2,(600th military),7 Aug 71,Earth sciences,NA
856,Musketball 1 / DTDS,(601st military),7 Aug 71,Earth sciences,NA
857,LCS 4,(602nd military),7 Aug 71,Radar calibration,NA
858,AVL-802 Mylar Sphere,(603rd military),7 Aug 71,Earth sciences,NA
859,Gndsphere 1 / Grid Sphere 7-1,(604th military),7 Aug 71,Earth sciences,NA
860,Gndsphere 2 / Grid Sphere 7-2,(605th military),7 Aug 71,Earth sciences,NA
861,RDT 701 / Rigid Sphere 2,(606th military),7 Aug 71,Radar calibration,NA
862,Titan Samos 32 / KH-8 32 GAMBIT,(607th military),12 Aug 71,Reconnaissance,NA
863,Discoverer 137 / KH-4B,(608th military),16 Sep 71,Reconnaissance,NA
864,Hitchhiker 29,(609th military),10 Sep 71,Electronic intelligence,NA
865,OSO 7,(256th civilian),29 Sep 71,Solar observatory,NA
866,TETR 3,(257th civilian),29 Sep 71,Technology,NA
867,DMSP 1 / DMSP- Block-5B F1 ,(610th military),14 Oct 71,Meteorology,NA
868,SESP-ASTEX 1,(611th military),17 Oct 71,Technology,NA
869,ITOS B,(258th civilian),21 Oct 71,Meteorology,NA
870,Titan Samos 33 / KH-8 33 GAMBIT,(612th military),23 Oct 71,Reconnaissance,NA
871,DSCS 2-1 / DSCS II A-1,(613th military),3 Nov 71,Communications,NA
872,DSCS 2-2 / DSCS II A-2,(614th military),3 Nov 71,Communications,NA
873,Explorer 45 / SSS 1,(259th civilian),15 Nov 71,Earth sciences,NA
874,CANYON-4,(615th military),4 Dec 71,Solar observatory,NA
875,NOSS / White Cloud,(616th military),14 Dec 71,Ocean surveillance,NA
876,Subsatellite,(617th military),14 Dec 71,Ocean surveillance,NA
877,Subsatellite,(618th military),14 Dec 71,Ocean surveillance,NA
878,Subsatellite,(619th military),14 Dec 71,Ocean surveillance,NA
879,Big Bird 2 / KH-9 2 HEXAGON,(620th military),20 Jan 72,Reconnaissance,NA
880,Hitchhiker 30,(621st military),20 Jan 72,Electronic intelligence,NA
881,Jumpseat 2,(622nd military),16 Feb 72,Electronic intelligence,NA
882,IMEWS 3 / DSP 4,(623rd military),1 Mar 72,Missile early warning,NA
883,Pioneer 10,(260th civilian),3 Mar 72,Planetary probe,NA
884,Titan Samos 34 / KH-8 34 GAMBIT,(624th military),17 Mar 72,Reconnaissance,NA
885,DMSP 2 / DMSP Block-5B F-2,(625th military),24 Mar72,Meteorology,NA
886,Apollo 16 Casper,(261st civilian),16 Apr 72,Piloted spaceship,NA
887,Apollo 16 Orion,(262nd civilian),16 Apr 72,Piloted spaceship,NA
888,Lunar Rover (LRV-2),(263rd civilian),16 Apr 72,Lunar vehicle,NA
889,Apollo 16 Subsatellite,(264th civilian),16 Apr 72,Piloted spaceship,NA
890,Discoverer 138 / KH-4B,(626th military),19 Apr 72,Reconnaissance,NA
891,Titan Samos 35 / KH-8 35 GAMBIT,(627th military),20 May 72,Reconnaissance,NA
892,Discoverer 139 / KH-4B,(628th military),25 May 72,Reconnaissance,NA
893,Big Bird 3 / KH-9 3 HEXAGON,(629th military),7 Jul 72,Reconnaissance,NA
894,Hitchhiker 31,(630th military),7 Jul 72,Electronic intelligence,NA
895,ERTS 1 / Landsat 1,(265th civilian),23 Jul 72,Earth remote sensing,NA
896,Explorer 46 / MTC,(266th civilian),13 Aug 72,Technology,NA
897,OAO 3 Copernicus,(267th civilian),21 Aug 72,Astronomy,NA
898,Titan Samos 36 / KH-8 36 GAMBIT,(631st military),16 Sep 72,Reconnaissance,NA
899,TIP / TRIAD 1 / Triad OI-1X,(632nd military),2 Sep 72,Navigation,NA
900,Explorer 47 / IMP 7,(268th civilian),23 Sep 72,Space environment studies,NA
