Ops #,Satellite Name,Intl Designation,Launch,Re-entry
Ops-3890,KH 4B-6,1969,010A,5-Feb-1969,24-Feb-1969
Ops-3899,NA,1983,060C,20-Jun-1983,
Ops-3928,KH 4A-16,1965,002A,15-Jan-1965,9-Feb-1965
Ops-3978,KH 8-38,1972,103A,21-Dec-1972,23-Jan-1973
Ops-3986,SESP,74-2,1976,065B,8-Jul-1976,24-Apr-1986
Ops-4018,KH 8-40,failed,26-Jun-1973,NA
Ops-4029,Chalet-3,1981,107A,31-Oct-1981,
Ops-4035,KH 7-12,failed,8-Oct-1964,NA
Ops-4078,P35-21,1968,092A,23-Oct-1968,
Ops-4096,KH 8-2,1966,086A,28-Sep-1966,7-Oct-1966
Ops-4204,KH 8-4,1967,016A,24-Feb-1967,6-Mar-1967
Ops-4221,NOSS-10,1992,023A,25-Apr-1992,
Ops-4243,KH 8-5,failed,26-Apr-1967,NA
Ops-4248,KH 8-20,1969,019A,4-Mar-1969,18-Mar-1969
Ops-4258,RH-3,1977,114A,11-Dec-1977,
Ops-4262,KH 7-11,1964,058A,23-Sep-1964,28-Sep-1964
Ops-4282,KH 8-6,1967,064A,20-Jun-1967,30-Jun-1967
Ops-4311,DMSP-1,1971,087A,14-Oct-1971,
Ops-4321,KH 7-37,1967,050A,22-May-1967,30-May-1967
Ops-4324,KH 4B-11,1970,054A,23-Jul-1970,19-Aug-1970
Ops-4360,KH 7-38,1967,055A,4-Jun-1967,12-Jun-1967
Ops-4368,Transit-5BN3,failed,21-Apr-1964,NA
Ops-4384,KH 7-13,1964,068A,23-Oct-1964,28-Oct-1964
Ops-4399,KH 7-36,1967,007A,2-Feb-1967,12-Feb-1967
Ops-4412,Transit-5C1,1964,026A,4-Jun-1964,NA
Ops-4428,KH 9-11,1975,114A,4-Dec-1975,1-Apr-1976
Ops-4439,KH 7-14,1964,079A,4-Dec-1964,5-Dec-1964
Ops-4467,P35-8,1964,031A,18-Jun-1964,
Ops-4547,Hitchiker-35,1974,020B,10-Apr-1974,
Ops-4639,KH 4A-28,1965,110A,24-Dec-1965,20-Jan-1966
Ops-4674,KH 9-21,failed,18-Apr-1986,NA
Ops-4682,Snapshot,1965,027A,3-Apr-1965,
Ops-4696,KH 4A-41,1967,043A,9-May-1967,13-Jul-1967
Ops-4699,KH 9-12,1976,065A,8-Jul-1976,13-Dec-1976
Ops-4703,KH 7-15,1965,005A,23-Jan-1965,28-Jan-1965
Ops-4710,Hitchiker-25,1969,079B,22-Sep-1969,16-May-1971
Ops-4720,KH 4B-10,1970,040A,20-May-1970,17-Jun-1970
Ops-4740,KH 4A-49,1968,112A,12-Dec-1968,28-Dec-1968
Ops-4750,KH 4A-39,1967,015A,22-Feb-1967,11-Mar-1967
Ops-4779,KH 4A-40,1967,029A,30-Mar-1967,17-Apr-1967
Ops-4782,KH 4A-17,1965,013A,25-Feb-1965,18-Mar-1965
Ops-4788,Jumpseat-1,1971,021A,21-Mar-1971,
Ops-4800,KH 9-13,1977,056A,27-Jun-1977,23-Dec-1977
Ops-4803,KH 4A-18,1965,026A,25-Mar-1965,4-Apr-1965
Ops-4827,KH 4A-43,1967,076A,7-Aug-1967,1-Sep-1967
Ops-4849,KH 4A-46,1968,020A,14-Mar-1968,10-Apr-1968
Ops-4883,KH 8-45,1975,032A,18-Apr-1975,5-Jun-1975
Ops-4886,KH 8-7,1967,079A,16-Aug-1967,29-Aug-1967
Ops-4915,KH 8-49,1977,019A,13-Mar-1977,26-May-1977
Ops-4920,KH 7-16,1965,019A,12-Mar-1965,17-Mar-1965
Ops-4923,Hitchiker-5,1964,036B,8-Jul-1964,3-Jan-1965
Ops-4941,KH 8-8,1967,090A,19-Sep-1967,30-Sep-1967
Ops-4947,NNSS-30140,1967,092A,25-Sep-1967,
Ops-4966,Canyon-6,1975,055A,18-Jun-1975,
Ops-4983,KH 7-17,1965,031A,28-Apr-1965,3-May-1965
Ops-4988,Solrad-6B,1965,016A,9-Mar-1965,
Ops-4992,KH 4B-12,1970,098A,18-Nov-1970,11-Dec-1970
Ops-4995,KH 8-9,1967,103A,25-Oct-1967,4-Nov-1967
Ops-5000,KH 8-10,1967,121A,5-Dec-1967,16-Dec-1967
Ops-5023,KH 4A-19,1965,033A,29-Apr-1965,26-May-1965
Ops-5028,KH 8-11,1968,005A,18-Jan-1968,4-Feb-1968
Ops-5057,KH 8-12,1968,018A,13-Mar-1968,24-Mar-1968
Ops-5058,DMSP-2,1972,018A,24-Mar-1972,
Ops-5063,Hitchiker-7,1964,068B,27-Oct-1964,23-Feb-1965
Ops-5089,KH 4B-1,1967,087A,15-Sep-1967,4-Oct-1967
Ops-5105,KH 8-13,1968,031A,17-Apr-1968,29-Apr-1968
Ops-5111,Navstar-1,1978,020A,22-Feb-1978,
Ops-5112,Navstar-2,1978,047A,13-May-1978,
Ops-5113,Navstar-3,1978,093A,7-Oct-1978,
Ops-5114,Navstar-4,1978,112A,11-Dec-1978,
Ops-5117,Navstar-5,1980,011A,9-Feb-1980,
Ops-5118,Navstar-6,1980,032A,26-Apr-1980,
Ops-5138,KH 8-14,1968,047A,5-Jun-1968,17-Jun-1968
Ops-5140,DMSP-8,1976,016A,19-Feb-1976,19-Feb-1976
Ops-5187,KH 8-15,1968,064A,6-Aug-1968,16-Aug-1968
Ops-5201,Midas-6,failed,17-Dec-1962,NA
Ops-5236,KH 7-18,1965,041A,27-May-1965,1-Jun-1965
Ops-5247,KH 8-16,1968,074A,10-Sep-1968,25-Sep-1968
Ops-5259,Hitchiker-19,1968,052B,20-Jun-1968,11-Jan-1970
Ops-5268,P35-25,1971,012A,17-Feb-1971,
Ops-5268A,Calsphere-5,1971,012C,17-Feb-1971,17-Oct-1989
Ops-5268B,Calsphere-6,1971,012D,17-Feb-1971,20-Sep-1989
Ops-5268C,Calsphere-7,1971,012E,17-Feb-1971,7-Jan-1990
Ops-5296,KH 8-17,1968,099A,6-Nov-1968,20-Nov-1968
Ops-5300,KH 4B-14,1971,022A,24-Mar-1971,12-Apr-1971
Ops-5310,KH 8-21,1969,039A,15-Apr-1969,30-Apr-1969
Ops-5325,KH 4A-25,1965,079A,5-Oct-1965,29-Oct-1965
Ops-5343,KH 4A-47,1968,052A,20-Jun-1968,16-Jul-1968
Ops-5345,SGLS,1966,090B,12-Oct-1966,21-Oct-1966
Ops-5346,RH-1,1970,046A,19-Jun-1970,-Jan-1980
Ops-5366,Hitchiker-39,1976,065C,8-Jul-1976,
Ops-5390,AMS-4,1979,050A,6-Jun-1979,
Ops-5424,Pickaback,1966,098B,2-Nov-1966,16-Nov-1966
Ops-5434,KH 4A-13,1964,071A,2-Nov-1964,28-Nov-1964
Ops-5454,KH 4B-15,1971,076A,10-Sep-1971,5-Oct-1971
Ops-5499,KH 8-46,1975,098A,9-Oct-1975,30-Nov-1975
Ops-5501,KH 7-19,1965,050B,25-Jun-1965,30-Jun-1965
Ops-5527,KH 8-40,failed,26-Jun-1973,NA
Ops-5543,KH 4A-22,1965,057A,19-Jul-1965,18-Aug-1965
Ops-5547,Hitchiker-38,1975,114B,4-Dec-1975,1-May-1978
Ops-5557,LOGACS,1967,050B,22-May-1967,27-May-1967
Ops-5640,KH 4B-16,1972,032A,19-Apr-1972,12-May-1972
Ops-5642,KH 9-18,1982,041A,11-May-1982,5-Dec-1982
Ops-5644,AMS-2,1977,044A,5-Jun-1977,
Ops-5698,KH 7-21,1965,062A,3-Aug-1965,7-Aug-1965
Ops-5705,KH 11-1,1976,125A,19-Dec-1976,28-Jan-1979
Ops-5712,Ferret-16,1967,053A,31-May-1967,
Ops-5712/152,Ops,5712/152,1967,053G,31-May-1967,
Ops-5712/153,Ops,5712/153,1967,053H,31-May-1967,
Ops-5721,AMS-1,1976,091A,11-Sep-1976,
Ops-5798,NNSS-30010,1964,063B,6-Oct-1964,
Ops-5805,Jumpseat-5,1980,100A,13-Dec-1980,
Ops-5810,KH 7-20,failed,12-Jul-1965,NA
